Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Ratios: (NASA FLT) / (Pool),Ratios: (Ba Pool) / (Pool),Ratios: (FLT Pool) / (Pool),Ratio Standard Errors [%]: (NASA FLT) / (Pool),Ratio Standard Errors [%]: (Ba Pool) / (Pool),Ratio Standard Errors [%]: (FLT Pool) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
False,IsMasterProteinCandidate,E9PV24-2,Isoform 2 of Fibrinogen alpha chain OS=Mus musculus GN=Fga,67.6840215439856,38,100,37,1,557,61.288,7.47,0.95,0.8,0.96,35.76,8.17,11.42,,38,0,0.0,Green,125.830645835032
False,IsMasterProtein,P62259,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1,80.0,28,115,28,1,255,29.155,4.74,0.99,0.89,1.01,20.91,7.35,13.46,,28,0,0.0,Green,125.422214051066
False,IsMasterProtein,Q9QZW0-2,Isoform 2 of Phospholipid-transporting ATPase 11C OS=Mus musculus GN=Atp11c,31.5363881401617,33,59,33,1,1113,127.429,6.96,1.01,0.85,1.07,28.14,11.2,9.23,,33,0,0.0,Green,125.300510707043
False,IsMasterProtein,O88685,26S protease regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=2,71.0407239819005,30,74,29,1,442,49.518,5.19,1.07,0.85,1.11,22.13,9.22,9.86,,30,0,0.0,Green,125.176559161138
False,IsMasterProtein,Q8CFX1,GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus GN=H6pd PE=1 SV=2,45.7541191381496,34,56,31,1,789,88.872,6.93,1.13,0.92,1.05,22.48,7.68,22.18,,34,0,0.0,Green,124.972706493968
False,IsMasterProtein,Q3UZZ6,Sulfotransferase 1 family member D1 OS=Mus musculus GN=Sult1d1 PE=1 SV=1,73.5593220338983,29,91,28,1,295,35.06,5.76,1.11,0.95,0.95,25.11,11.72,9.07,,29,0,0.0,Green,124.805702476793
False,IsMasterProtein,Q3UKA4,"Alcohol dehydrogenase 1 (Class I), isoform CRA_c OS=Mus musculus GN=Adh1 PE=2 SV=1",78.4,32,329,32,1,375,39.746,8.1,0.93,0.76,0.96,24.51,19.41,14.82,,32,0,0.0,Green,124.524807756961
False,IsMasterProtein,Q501J6,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus GN=Ddx17 PE=1 SV=1,60.4615384615385,34,50,34,1,650,72.354,8.59,1.07,0.9,1.12,21.87,10.67,11.25,,34,0,0.0,Green,124.45223768677
False,IsMasterProtein,Q9JHW2,Omega-amidase NIT2 OS=Mus musculus GN=Nit2 PE=1 SV=1,93.8405797101449,26,66,26,1,276,30.483,6.9,0.93,0.86,1.05,24.17,5.61,22.33,,26,0,0.0,Green,123.909202797401
False,IsMasterProtein,Q8BK48,Pyrethroid hydrolase Ces2e OS=Mus musculus GN=Ces2e PE=1 SV=1,57.4239713774598,25,68,24,1,559,62.277,6.16,1.0,0.88,0.9,25.47,12.26,16.06,,25,0,0.0,Green,123.815462356371
False,IsMasterProteinCandidate,Q8VEK3,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1,46.625,38,78,38,1,800,87.863,6.24,1.06,0.88,1.14,23.14,9.14,9.42,,38,0,0.0,Green,123.773188340115
False,IsMasterProteinCandidate,Q8C290,Putative uncharacterized protein OS=Mus musculus GN=Hnrnpu PE=2 SV=1,46.625,38,78,38,1,800,87.923,6.24,1.06,0.88,1.14,23.14,9.14,9.42,,38,0,0.0,Green,123.773188340115
False,IsMasterProtein,Q3TVV6,Putative uncharacterized protein OS=Mus musculus GN=Hnrnpu PE=2 SV=1,46.625,38,78,38,1,800,87.891,6.24,1.06,0.88,1.14,23.14,9.14,9.42,,38,0,0.0,Green,123.773188340115
False,IsMasterProteinCandidate,Q3ULH5,Putative uncharacterized protein OS=Mus musculus GN=Hnrnpu PE=2 SV=1,46.625,38,78,38,1,800,87.791,6.33,1.06,0.88,1.14,23.14,9.14,9.42,,38,0,0.0,Green,123.773188340115
False,IsMasterProtein,P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dbt PE=1 SV=2",62.655601659751,30,65,30,1,482,53.213,8.6,1.03,0.87,1.1,18.93,7.2,5.15,,30,0,0.0,Green,123.564680748249
False,IsMasterProteinCandidate,Q3UMP2,Putative uncharacterized protein OS=Mus musculus GN=Hmgcl PE=2 SV=1,63.0769230769231,19,61,19,1,325,34.271,8.41,0.96,0.83,1.1,22.42,11.48,15.79,,19,0,0.0,Green,123.331843852921
False,IsMasterProtein,P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2",63.0769230769231,19,61,19,1,325,34.217,8.41,0.96,0.83,1.1,22.42,11.48,15.79,,19,0,0.0,Green,123.331843852921
False,IsMasterProtein,P50516,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2,62.3987034035656,35,62,35,1,617,68.283,5.58,1.04,0.86,1.0,24.59,14.95,9.74,,35,0,0.0,Green,123.212496101663
False,IsMasterProtein,O88986,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2",59.375,20,61,20,1,416,44.902,7.33,1.09,0.93,1.07,24.2,9.54,16.22,,20,0,0.0,Green,123.168551483227
False,IsMasterProtein,Q6GQT9,Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1,38.3855024711697,31,44,31,1,1214,133.336,6.09,1.1,1.04,1.05,38.34,35.02,39.45,,31,0,0.0,Green,123.083708214426
False,IsMasterProtein,B2RRH9,Guanine monphosphate synthetase OS=Mus musculus GN=Gmps PE=2 SV=1,59.8845598845599,32,48,32,1,693,76.675,6.73,1.09,0.87,1.14,27.22,18.04,16.67,,32,0,0.0,Green,122.973304620045
False,IsMasterProtein,P35700,Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1,82.9145728643216,25,155,24,1,199,22.162,8.12,1.05,0.83,1.04,19.9,14.53,10.04,,25,0,0.0,Green,122.745565209558
False,IsMasterProteinCandidate,Q80X19-2,Isoform 2 of Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1,26.7265581134194,35,48,34,1,1781,191.243,5.15,0.75,0.68,1.18,36.26,9.67,24.23,,35,0,0.0,Green,122.353839883274
False,IsMasterProtein,Q80X19,Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=1 SV=2,26.488592097941,35,48,34,1,1797,192.892,5.1,0.75,0.68,1.18,36.26,9.67,24.23,,35,0,0.0,Green,122.353839883274
False,IsMasterProtein,Q9QXG4,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2",43.7945791726106,27,55,27,1,701,78.811,6.64,1.0,0.9,0.87,40.89,12.12,15.75,,27,0,0.0,Green,122.333237969604
False,IsMasterProtein,Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=1 SV=3",69.9792960662526,33,61,32,1,483,53.213,7.23,1.02,0.85,0.98,30.32,16.33,27.69,,33,0,0.0,Green,122.076509956325
False,IsMasterProtein,Q8R4N0,"Citrate lyase subunit beta-like protein, mitochondrial OS=Mus musculus GN=Clybl PE=1 SV=2",66.2721893491124,23,51,23,1,338,37.525,8.54,0.95,0.83,1.05,21.35,8.48,11.36,,23,0,0.0,Green,121.850770933578
False,IsMasterProtein,A2AJL3,FGGY carbohydrate kinase domain-containing protein OS=Mus musculus GN=Fggy PE=1 SV=1,59.4202898550725,31,60,31,1,552,60.297,6.42,0.99,0.85,1.08,29.85,5.37,9.97,,31,0,0.0,Green,121.672975974764
False,IsMasterProtein,Q7TNG8,"Probable D-lactate dehydrogenase, mitochondrial OS=Mus musculus GN=Ldhd PE=1 SV=1",65.702479338843,22,57,22,1,484,51.815,6.62,1.09,0.97,1.11,29.78,12.45,24.48,,22,0,0.0,Green,121.667696439915
False,IsMasterProtein,Q8BVI4,Dihydropteridine reductase OS=Mus musculus GN=Qdpr PE=1 SV=2,89.2116182572614,16,107,16,1,241,25.554,7.81,1.03,0.84,1.02,21.82,11.94,13.17,,16,0,0.0,Green,121.576571469604
False,IsMasterProtein,A8DUK4,Beta-globin OS=Mus musculus GN=Hbbt1 PE=1 SV=1,98.6394557823129,18,584,18,1,147,15.738,7.69,0.88,0.99,0.71,27.19,7.95,8.86,,18,0,0.0,Green,121.399203463999
False,IsMasterProtein,Q11011,Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2,44.2391304347826,33,47,33,1,920,103.26,5.9,0.94,0.9,0.97,24.86,8.55,12.74,,33,0,0.0,Green,121.103837521355
False,IsMasterProtein,Q8CAS9,Poly [ADP-ribose] polymerase 9 OS=Mus musculus GN=Parp9 PE=1 SV=2,49.4226327944573,34,47,34,1,866,96.597,7.09,1.09,0.91,1.06,28.46,9.18,10.41,,34,0,0.0,Green,120.848479294406
False,IsMasterProteinCandidate,Q8CAS9-2,Isoform 2 of Poly [ADP-ribose] polymerase 9 OS=Mus musculus GN=Parp9,51.566265060241,34,47,34,1,830,92.61,6.76,1.09,0.91,1.06,28.46,9.18,10.41,,34,0,0.0,Green,120.848479294406
False,IsMasterProtein,P14211,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1,70.4326923076923,31,117,31,1,416,47.965,4.49,1.16,0.96,1.03,21.69,10.12,12.93,,31,0,0.0,Green,120.841522520282
False,IsMasterProtein,P30999,Catenin delta-1 OS=Mus musculus GN=Ctnnd1 PE=1 SV=2,49.5735607675906,40,68,40,1,938,104.86,6.87,1.07,0.88,1.05,22.29,5.36,10.3,,40,0,0.0,Green,120.514234021807
False,IsMasterProtein,Q9CZN7,Serine hydroxymethyltransferase OS=Mus musculus GN=Shmt2 PE=1 SV=1,78.968253968254,35,87,35,1,504,55.724,8.47,1.06,0.92,1.04,22.11,6.72,12.31,,35,0,0.0,Green,120.450860971348
False,IsMasterProteinCandidate,Q3TFD0,Serine hydroxymethyltransferase OS=Mus musculus GN=Shmt2 PE=2 SV=1,79.4411177644711,35,87,35,1,501,55.385,8.47,1.06,0.92,1.04,22.11,6.72,12.31,,35,0,0.0,Green,120.450860971348
False,IsMasterProtein,Q5SWR1,AP complex subunit beta OS=Mus musculus GN=Ap2b1 PE=2 SV=1,37.32912723449,30,51,30,1,951,105.655,5.34,1.11,0.9,1.02,27.8,14.09,14.02,,30,0,0.0,Green,120.430116051834
False,IsMasterProteinCandidate,Q9DBG3,AP-2 complex subunit beta OS=Mus musculus GN=Ap2b1 PE=1 SV=1,37.8868729989328,30,51,30,1,937,104.516,5.38,1.11,0.9,1.02,27.8,14.09,14.02,,30,0,0.0,Green,120.430116051834
False,IsMasterProtein,Q99N15,17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus GN=Hsd17b10 PE=1 SV=1,87.3563218390805,19,51,19,1,261,27.257,8.76,1.08,0.92,1.13,20.05,19.74,11.36,,19,0,0.0,Green,120.420994717244
False,IsMasterProtein,F6ZDS4,Nucleoprotein TPR OS=Mus musculus GN=Tpr PE=1 SV=1,24.8046071575483,57,77,56,1,2431,273.824,5.03,0.98,0.83,1.08,23.0,11.13,16.44,,57,0,0.0,Green,120.318068946425
False,IsMasterProtein,P54775,26S protease regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2,77.7511961722488,26,47,26,1,418,47.379,5.21,1.09,0.9,1.11,20.27,6.45,19.14,,26,0,0.0,Green,120.294466793905
False,IsMasterProtein,Q8BI84,Melanoma inhibitory activity protein 3 OS=Mus musculus GN=Mia3 PE=1 SV=2,25.4922279792746,42,54,41,1,1930,213.544,4.75,1.05,0.82,0.86,30.64,23.74,4.71,,42,0,0.0,Green,120.12575632937
False,IsMasterProtein,Q8R146,Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=1 SV=3,54.7814207650273,33,56,32,1,732,81.529,5.59,0.95,0.8,1.02,20.24,12.64,7.69,,33,0,0.0,Green,119.983013493513
False,IsMasterProteinCandidate,Q8R146-2,Isoform 2 of Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh,55.9274755927476,33,56,32,1,717,79.914,5.54,0.95,0.8,1.02,20.24,12.64,7.69,,33,0,0.0,Green,119.983013493513
False,IsMasterProtein,Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1",64.4591611479029,29,83,28,1,453,48.205,9.25,0.98,0.88,1.05,24.58,7.47,10.16,,29,0,0.0,Green,119.829068857428
False,IsMasterProtein,P27046,Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2,38.9565217391304,33,46,32,1,1150,131.548,8.03,1.09,1.02,1.04,29.0,38.77,60.16,,33,0,0.0,Green,119.690784829793
False,IsMasterProtein,Q64464,Cytochrome P450 3A13 OS=Mus musculus GN=Cyp3a13 PE=1 SV=1,56.4612326043738,28,52,28,1,503,57.455,8.57,1.22,0.96,0.85,33.98,11.4,13.92,,28,0,0.0,Green,119.621986123218
False,IsMasterProtein,Q3TJ43,Putative uncharacterized protein OS=Mus musculus GN=Vps35 PE=2 SV=1,47.9899497487437,39,62,39,1,796,91.632,5.4,1.08,0.9,0.98,23.93,11.6,20.16,,39,0,0.0,Green,119.536789217821
False,IsMasterProtein,Q3ULF7,Actr3 protein OS=Mus musculus GN=Actr3 PE=2 SV=1,63.6363636363636,23,54,22,1,418,47.327,5.88,1.06,0.84,1.03,23.75,9.78,9.74,,23,0,0.0,Green,119.463560919991
False,IsMasterProtein,Q68FL6,"Methionine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Mars PE=1 SV=1",43.6807095343681,37,52,37,1,902,101.366,7.14,1.04,0.88,0.95,23.33,6.52,5.76,,37,0,0.0,Green,119.382276872172
False,IsMasterProtein,Q921X9,Protein disulfide-isomerase A5 OS=Mus musculus GN=Pdia5 PE=1 SV=1,76.0154738878143,36,86,35,1,517,59.229,7.5,1.09,0.9,1.03,25.94,12.19,14.11,,36,0,0.0,Green,119.145453857433
False,IsMasterProtein,P30416,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5,66.3755458515284,35,78,33,1,458,51.54,5.72,1.14,0.96,0.97,22.59,11.53,6.73,,35,0,0.0,Green,119.065223863009
False,IsMasterProteinCandidate,Q9QZQ1-2,Isoform 1 of Afadin OS=Mus musculus GN=Mllt4,29.0858725761773,44,52,43,1,1805,204.426,6.24,1.07,0.89,0.95,22.12,15.11,16.21,,44,0,0.0,Green,118.347010066433
False,IsMasterProtein,Q9QZQ1,Afadin OS=Mus musculus GN=Mllt4 PE=1 SV=3,28.8461538461538,44,52,43,1,1820,206.371,6.32,1.07,0.89,0.95,22.12,15.11,16.21,,44,0,0.0,Green,118.347010066433
False,IsMasterProtein,E9PVU0,Unconventional myosin-VI OS=Mus musculus GN=Myo6 PE=1 SV=1,33.5703001579779,39,62,37,1,1266,146.215,8.47,1.08,0.94,1.1,22.22,2.7,5.5,,39,0,0.0,Green,118.15276060361
False,IsMasterProtein,Q9WVL0,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1,90.2777777777778,17,81,17,1,216,24.26,7.85,0.99,0.94,1.12,23.02,18.34,21.11,,17,0,0.0,Green,117.998922905214
False,IsMasterProtein,G5E924,Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Mus musculus GN=Hnrnpl PE=1 SV=1,52.6829268292683,26,75,26,1,615,66.89,8.18,1.0,0.86,1.09,20.1,6.4,4.97,,26,0,0.0,Green,117.989806706765
False,IsMasterProtein,P36552,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Mus musculus GN=Cpox PE=1 SV=2",61.3995485327314,30,70,30,1,443,49.683,8.53,1.02,0.86,1.09,20.63,8.74,13.12,,30,0,0.0,Green,117.924794753765
False,IsMasterProtein,G5E866,Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=1 SV=1,33.9723926380368,34,48,33,1,1304,145.738,7.09,1.09,0.9,0.95,26.0,15.05,11.22,,34,0,0.0,Green,117.605480421981
False,IsMasterProteinCandidate,Q99NB9,Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=1 SV=1,33.9723926380368,34,48,33,1,1304,145.724,7.09,1.09,0.9,0.95,26.0,15.05,11.22,,34,0,0.0,Green,117.605480421981
False,IsMasterProtein,Q14AQ1,"Proteasome (Prosome, macropain) 26S subunit, ATPase, 6 OS=Mus musculus GN=Psmc6 PE=2 SV=1",74.0359897172236,28,73,26,1,389,44.145,7.49,1.07,0.88,1.11,22.13,10.85,19.27,,28,0,0.0,Green,117.603169141206
False,IsMasterProtein,P58710,L-gulonolactone oxidase OS=Mus musculus GN=Gulo PE=1 SV=3,68.4090909090909,28,61,28,1,440,50.446,8.24,1.16,0.99,0.82,37.1,8.1,9.37,,28,0,0.0,Green,117.514379329565
False,IsMasterProtein,P16015,Carbonic anhydrase 3 OS=Mus musculus GN=Ca3 PE=1 SV=3,82.3076923076923,22,163,22,1,260,29.348,7.37,0.97,0.85,1.12,24.86,7.33,8.18,,22,0,0.0,Green,117.291093494035
False,IsMasterProtein,Q8R0F9,SEC14-like protein 4 OS=Mus musculus GN=Sec14l4 PE=1 SV=1,69.4789081885856,32,67,31,1,403,46.023,7.12,0.98,0.79,1.18,29.91,15.44,21.57,,32,0,0.0,Green,117.053407730343
False,IsMasterProtein,E9Q0K6,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Mus musculus GN=Samhd1 PE=1 SV=1,67.1274961597542,40,57,39,1,651,74.887,7.27,1.12,0.84,1.0,28.18,15.71,10.63,,40,0,0.0,Green,116.83329998073
False,IsMasterProteinCandidate,F6TVP2,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (Fragment) OS=Mus musculus GN=Samhd1 PE=1 SV=1,69.2551505546751,40,57,39,1,631,72.811,7.27,1.12,0.84,1.0,28.18,15.71,10.63,,40,0,0.0,Green,116.83329998073
False,IsMasterProtein,Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Iars2 PE=1 SV=1",39.9209486166008,35,55,34,1,1012,112.732,6.81,1.07,0.88,1.13,29.9,16.06,26.52,,35,0,0.0,Green,116.716148433803
False,IsMasterProtein,Q9WTP7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3",90.3083700440529,23,53,23,1,227,25.41,8.84,1.06,0.92,1.03,29.8,17.3,9.63,,23,0,0.0,Green,116.650665559758
False,IsMasterProtein,P21619,Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2,50.0,30,51,30,1,596,67.277,5.5,1.03,0.85,1.07,30.21,13.26,17.22,,30,0,0.0,Green,116.631781947912
False,IsMasterProtein,Q63880,Carboxylesterase 3A OS=Mus musculus GN=Ces3a PE=1 SV=2,61.1208406304728,26,81,26,1,571,63.277,6.14,1.12,0.88,1.1,31.56,27.52,32.22,,26,0,0.0,Green,116.571474289438
False,IsMasterProteinCandidate,Q3UMF0-3,Isoform 3 of Cordon-bleu protein-like 1 OS=Mus musculus GN=Cobll1,37.6871880199667,36,48,35,1,1202,129.372,7.88,1.01,0.89,1.11,19.61,11.99,16.32,,36,0,0.0,Green,116.468619715397
False,IsMasterProtein,Q3UMF0,Cordon-bleu protein-like 1 OS=Mus musculus GN=Cobll1 PE=1 SV=2,35.5852317360566,36,48,35,1,1273,137.296,8.16,1.01,0.89,1.11,19.61,11.99,16.32,,36,0,0.0,Green,116.468619715397
False,IsMasterProtein,Q78JT3,"3-hydroxyanthranilate 3,4-dioxygenase OS=Mus musculus GN=Haao PE=1 SV=1",94.0559440559441,27,154,26,1,286,32.784,6.54,0.94,0.81,1.11,20.01,5.78,7.64,,27,0,0.0,Green,116.368652091048
False,IsMasterProtein,Q9WU79,"Proline dehydrogenase 1, mitochondrial OS=Mus musculus GN=Prodh PE=1 SV=2",58.5976627712855,27,56,27,1,599,67.993,8.24,0.96,0.9,1.15,22.53,10.48,22.21,,27,0,0.0,Green,116.355037190787
False,IsMasterProtein,Q8VIJ6,"Splicing factor, proline- and glutamine-rich OS=Mus musculus GN=Sfpq PE=1 SV=1",45.6366237482117,32,48,32,1,699,75.394,9.44,1.01,0.87,1.06,21.76,11.16,16.24,,32,0,0.0,Green,116.055577279581
False,IsMasterProtein,Q91WN4,Kynurenine 3-monooxygenase OS=Mus musculus GN=Kmo PE=1 SV=1,56.7849686847599,25,53,25,1,479,54.496,8.88,1.11,0.99,0.84,39.13,6.45,21.39,,25,0,0.0,Green,115.850110993611
False,IsMasterProtein,P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2",58.3720930232558,25,100,24,1,430,47.877,8.31,0.97,0.85,1.01,21.63,12.03,17.99,,25,0,0.0,Green,115.516205284868
False,IsMasterProtein,P55264,Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2,75.3462603878116,30,105,29,1,361,40.123,6.21,0.97,0.88,1.13,25.16,10.78,20.52,,30,0,0.0,Green,115.417281632993
False,IsMasterProtein,Q58E70,Tpm3 protein OS=Mus musculus GN=Tpm3 PE=2 SV=1,77.8225806451613,35,98,35,1,248,29.003,4.78,0.86,0.91,0.88,31.09,6.44,25.1,,35,0,0.0,Green,115.222740635212
False,IsMasterProtein,Q9DC50,Peroxisomal carnitine O-octanoyltransferase OS=Mus musculus GN=Crot PE=1 SV=1,56.2091503267974,29,54,29,1,612,70.219,6.73,1.07,0.87,1.03,19.14,10.21,8.95,,29,0,0.0,Green,115.096614472737
False,IsMasterProtein,P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4,79.3248945147679,32,59,32,1,474,51.532,7.52,1.13,0.99,1.17,27.59,21.19,22.38,,32,0,0.0,Green,114.971789577884
False,IsMasterProtein,Q8BH86,"UPF0317 protein C14orf159 homolog, mitochondrial OS=Mus musculus PE=1 SV=1",57.8606158833063,28,53,28,1,617,66.323,7.09,1.04,0.88,0.94,20.82,15.87,7.91,,28,0,0.0,Green,114.73647822507
False,IsMasterProtein,Q8CC86,Nicotinate phosphoribosyltransferase OS=Mus musculus GN=Naprt PE=1 SV=1,76.7657992565056,31,44,31,1,538,58.228,6.46,1.02,0.86,1.23,27.77,10.63,38.19,,31,0,0.0,Green,114.479402415834
False,IsMasterProteinCandidate,Q9QUR6,Prolyl endopeptidase OS=Mus musculus GN=Prep PE=1 SV=1,61.6901408450704,37,76,37,1,710,80.7,5.73,1.14,1.01,0.99,33.88,32.67,10.34,,37,0,0.0,Green,114.361972637035
False,IsMasterProtein,Q3TCS0,Putative uncharacterized protein OS=Mus musculus GN=Prep PE=2 SV=1,61.6901408450704,37,76,37,1,710,80.631,5.67,1.14,1.01,0.99,33.88,32.67,10.34,,37,0,0.0,Green,114.361972637035
False,IsMasterProtein,Q8VI47,Canalicular multispecific organic anion transporter 1 OS=Mus musculus GN=Abcc2 PE=1 SV=2,29.3583927414128,41,53,41,1,1543,173.561,8.65,1.13,0.91,0.88,37.52,17.87,16.5,,41,0,0.0,Green,114.063675336515
False,IsMasterProtein,P31001,Desmin OS=Mus musculus GN=Des PE=1 SV=3,66.5245202558635,33,58,32,1,469,53.465,5.27,0.64,0.85,0.61,34.92,9.29,9.97,,33,0,0.0,Green,113.53963349581
False,IsMasterProteinCandidate,Q3V2C6,Putative uncharacterized protein OS=Mus musculus GN=Des PE=2 SV=1,66.5245202558635,33,58,32,1,469,53.481,5.27,0.64,0.85,0.61,34.92,9.29,9.97,,33,0,0.0,Green,113.53963349581
False,IsMasterProtein,Q80W22,Threonine synthase-like 2 OS=Mus musculus GN=Thnsl2 PE=1 SV=1,57.3498964803313,23,38,23,1,483,54.153,6.39,1.13,0.91,1.16,46.29,20.29,53.09,,23,0,0.0,Green,113.459612067392
False,IsMasterProtein,Q91WT7,3-alpha-hydroxysteroid dehydrogenase type 1 OS=Mus musculus GN=Akr1c14 PE=1 SV=1,80.4953560371517,24,68,24,1,323,37.165,7.2,1.03,0.87,1.06,21.78,11.19,9.4,,24,0,0.0,Green,113.304189135806
False,IsMasterProtein,Q8C1W8,"Nicotinamide nucleotide transhydrogenase, isoform CRA_a OS=Mus musculus GN=Nnt PE=2 SV=1",34.1620626151013,31,44,31,1,1086,113.809,7.64,0.11,0.99,1.92,62.57,6.49,6.38,,31,0,0.0,Green,113.299479832264
False,IsMasterProtein,A0A075B5P6,Ig mu chain C region (Fragment) OS=Mus musculus GN=Ighm PE=1 SV=1,49.4505494505495,24,34,24,1,455,50.022,7.01,0.74,0.98,1.07,37.17,8.29,8.3,,24,0,0.0,Green,113.194992764732
False,IsMasterProtein,Q3UNX5-2,"Isoform 2 of Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Mus musculus GN=Acsm3",61.2540192926045,31,52,30,1,622,70.193,7.49,1.06,0.95,1.1,21.04,13.16,9.91,,31,0,0.0,Green,113.075638356033
False,IsMasterProtein,Q9DBJ1,Phosphoglycerate mutase 1 OS=Mus musculus GN=Pgam1 PE=1 SV=3,86.2204724409449,20,62,18,1,254,28.814,7.18,1.02,0.88,0.96,21.39,7.9,6.13,,20,0,0.0,Green,113.067741262231
False,IsMasterProtein,B9EKJ7,Tankyrase 1 binding protein 1 OS=Mus musculus GN=Tnks1bp1 PE=2 SV=1,28.953488372093,34,41,34,1,1720,181.715,4.87,0.98,0.85,1.0,26.44,25.17,9.32,,34,0,0.0,Green,112.683512754885
False,IsMasterProtein,P14152,"Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3",63.1736526946108,30,168,29,1,334,36.488,6.58,0.99,0.84,0.93,23.61,11.09,18.74,,30,0,0.0,Green,112.307538610561
False,IsMasterProtein,Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1",60.4166666666667,24,40,23,1,432,47.843,7.87,1.01,0.91,1.18,19.09,6.03,23.89,,24,0,0.0,Green,112.283392959958
False,IsMasterProtein,P48722,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2,49.5226730310263,34,44,33,1,838,94.322,5.74,1.02,0.88,0.76,24.79,9.26,26.35,,34,0,0.0,Green,112.164616508241
False,IsMasterProtein,Q9CZU6,"Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1",52.5862068965517,24,70,24,1,464,51.703,8.57,1.01,0.94,0.86,25.3,13.75,14.97,,24,0,0.0,Green,112.139141799546
False,IsMasterProtein,G3UW82,"MCG140437, isoform CRA_d OS=Mus musculus GN=Myh2 PE=1 SV=1",18.3831101956746,30,52,29,1,1942,223.081,5.77,0.2,0.94,0.23,84.08,10.08,71.74,,30,0,0.0,Green,112.004481411778
False,IsMasterProteinCandidate,Q9D6Y7-2,Isoform 2 of Mitochondrial peptide methionine sulfoxide reductase OS=Mus musculus GN=Msra,94.8356807511737,18,50,18,1,213,23.765,7.2,0.96,0.83,1.16,25.78,8.13,5.77,,18,0,0.0,Green,111.742274884907
False,IsMasterProtein,Q9D6Y7,Mitochondrial peptide methionine sulfoxide reductase OS=Mus musculus GN=Msra PE=1 SV=1,86.6952789699571,18,50,18,1,233,25.972,8.41,0.96,0.83,1.16,25.78,8.13,5.77,,18,0,0.0,Green,111.742274884907
