Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL
Q9UHY7,Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1 PE=1 SV=1,5,1,2,261,19.3,10.6,20.1,24.5,19.7,22.4,23.0,18.8,21.3,21.4,26.2,27.2,35.1,35.6,33.1,32.2,30.6,30.9,24.7,38.1
P06132,Uroporphyrinogen decarboxylase OS=Homo sapiens OX=9606 GN=UROD PE=1 SV=2,9,3,5,367,63.3,34.5,63.6,44.7,61.3,49.5,51.2,44.4,49.2,48.3,63.7,60.1,66.7,61.1,54.3,57.7,48.2,53.8,44.5,87.0
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4,15,6,16,456,103.3,62.1,57.5,138.6,56.6,95.6,84.4,68.8,48.9,74.0,66.6,62.6,122.6,92.6,59.6,80.5,46.8,61.7,38.8,98.1
Q9NR31,GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1,14,2,10,198,25.5,9.0,24.9,23.8,26.7,22.2,25.3,15.8,21.3,21.4,39.5,33.2,61.4,41.5,42.6,44.9,27.5,30.6,28.7,54.0
P62906,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,7,2,10,217,194.0,126.8,166.3,320.5,148.1,205.1,208.8,161.8,141.4,160.6,201.9,211.2,361.3,278.8,251.5,238.6,205.2,215.5,147.4,307.7
P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,2,5,30,2511,120.6,69.8,106.3,215.2,93.4,182.3,185.5,120.4,114.7,129.4,71.7,87.0,62.6,84.5,90.0,81.8,72.9,79.3,53.8,96.5
Q9NZW5,Protein PALS2 OS=Homo sapiens OX=9606 GN=PALS2 PE=1 SV=2,23,10,21,540,65.5,44.7,82.1,92.8,75.9,87.2,75.1,66.0,76.2,81.9,52.4,43.9,91.9,62.0,61.0,65.6,54.7,78.5,49.4,79.4
O94874,E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,4,3,4,794,19.1,12.2,27.3,25.4,19.1,21.5,19.4,14.5,18.2,23.0,64.6,53.6,108.5,87.2,88.0,81.2,64.1,79.5,57.8,102.3
Q9NXW2,DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=5,3,1,1,375,8.4,10.4,6.4,18.9,6.2,11.3,13.4,6.5,9.7,9.4,,,,,,,,,,
Q96JE7,Protein transport protein Sec16B OS=Homo sapiens OX=9606 GN=SEC16B PE=1 SV=2,1,1,3,1060,59.4,42.0,60.2,78.5,57.7,68.7,60.3,54.7,47.4,54.4,41.8,43.3,68.3,51.3,50.5,48.5,36.3,45.2,31.3,63.1
Q92879,CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2,3,1,3,486,71.0,39.9,81.3,89.9,54.8,77.1,74.5,60.1,64.2,72.7,,,,,,,,,,
Q9UPN6,SR-related and CTD-associated factor 8 OS=Homo sapiens OX=9606 GN=SCAF8 PE=1 SV=1,1,1,3,1271,139.7,57.5,81.8,86.4,84.6,90.2,81.4,95.5,125.6,108.7,,,,,,,,,,
Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,9,6,12,938,52.0,34.5,61.8,69.6,57.1,55.7,65.6,47.4,60.1,55.4,58.0,47.0,92.7,65.8,73.1,69.4,54.5,60.0,49.8,72.2
Q8N1B4,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1,3,1,5,723,19.6,11.8,15.2,17.4,12.3,12.4,19.1,13.9,12.0,11.3,18.0,16.5,22.8,15.6,15.3,11.4,16.6,15.5,13.4,23.0
Q8N5T2,TBC1 domain family member 19 OS=Homo sapiens OX=9606 GN=TBC1D19 PE=1 SV=2,2,1,2,526,37.7,26.2,33.1,40.0,37.0,37.2,31.1,25.0,28.3,34.5,40.8,35.0,66.7,42.9,44.6,40.2,36.1,37.5,37.5,46.7
O95081,Arf-GAP domain and FG repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=AGFG2 PE=1 SV=2,4,2,4,481,38.6,26.3,40.9,55.2,36.2,38.1,30.1,26.5,20.9,31.4,31.7,35.3,62.6,39.7,41.5,44.7,27.3,38.0,24.6,52.4
Q7L5L3,Lysophospholipase D GDPD3 OS=Homo sapiens OX=9606 GN=GDPD3 PE=1 SV=3,5,2,2,318,,,,,,,,,,,24.1,21.1,47.6,26.9,34.4,29.8,25.8,25.9,19.2,37.2
P30043,Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3,12,1,8,206,14.8,7.2,16.4,18.1,11.9,17.6,16.8,13.9,14.4,9.1,22.3,17.4,18.5,27.0,23.7,30.9,17.3,14.1,13.3,25.3
A8K7I4,Calcium-activated chloride channel regulator 1 OS=Homo sapiens OX=9606 GN=CLCA1 PE=1 SV=3,1,1,2,914,19.4,5.1,78.3,107.7,78.0,66.2,75.6,64.2,121.1,95.1,,,,,,,,,,
Q96HC4,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,3,2,6,596,31.9,19.6,38.4,44.5,37.0,46.9,35.6,36.4,37.5,50.8,50.7,45.7,67.3,59.6,75.4,55.8,311.5,77.7,55.4,82.9
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1",5,1,1,207,20.6,13.9,18.0,23.6,17.6,15.1,17.9,17.2,15.9,17.8,,,,,,,,,,
Q9UGU0,Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,0,1,3,1960,17.9,11.9,41.9,85.6,32.6,40.0,54.6,29.0,52.4,38.7,21.1,19.4,38.6,23.3,19.8,35.3,15.0,31.1,20.8,30.3
Q1L5Z9,LON peptidase N-terminal domain and RING finger protein 2 OS=Homo sapiens OX=9606 GN=LONRF2 PE=1 SV=3,1,1,4,754,22.9,15.1,25.7,29.8,25.3,34.0,28.3,165.4,24.8,188.7,97.4,40.0,97.9,89.2,93.2,245.9,51.3,85.5,39.5,108.4
P61619,Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens OX=9606 GN=SEC61A1 PE=1 SV=2,14,5,9,476,54.5,25.8,36.5,108.1,32.0,54.7,49.3,34.6,27.3,40.0,38.2,39.3,89.8,54.5,49.0,51.5,31.2,43.0,22.9,68.3
Q7L7X3,Serine/threonine-protein kinase TAO1 OS=Homo sapiens OX=9606 GN=TAOK1 PE=1 SV=1,1,2,4,1001,171.9,96.6,199.7,227.0,209.3,212.6,214.0,155.2,198.1,177.2,144.3,148.0,270.1,172.8,209.0,214.2,166.5,164.5,184.4,211.2
Q93034,Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4,2,2,5,780,31.7,13.2,35.0,29.3,33.7,36.9,29.3,30.0,29.0,25.3,65.2,63.7,100.1,77.8,85.7,80.9,91.5,69.7,73.7,96.4
Q9NQX3,Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1,29,11,23,736,40.4,40.8,44.0,64.1,47.6,38.2,36.0,35.3,34.2,40.7,14.3,17.0,21.6,28.4,21.5,18.5,15.8,18.1,16.7,22.5
Q16659,Mitogen-activated protein kinase 6 OS=Homo sapiens OX=9606 GN=MAPK6 PE=1 SV=1,1,1,2,721,87.2,56.6,102.0,123.4,91.7,104.3,91.6,83.9,88.7,93.4,169.0,151.3,319.9,181.3,221.3,206.5,171.5,180.2,155.6,251.5
P21731,Thromboxane A2 receptor OS=Homo sapiens OX=9606 GN=TBXA2R PE=1 SV=3,2,1,1,343,92.1,69.7,101.9,130.2,107.3,107.1,107.4,91.0,98.7,110.5,,,,,,,,,,
Q9NTG7,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial OS=Homo sapiens OX=9606 GN=SIRT3 PE=1 SV=2",3,1,2,399,29.1,20.9,24.7,35.6,26.6,25.5,23.6,22.0,27.6,16.3,19.3,22.0,27.3,27.2,28.2,24.7,17.4,17.2,17.5,27.1
Q9Y263,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,4,3,8,795,61.8,40.7,81.7,69.5,73.9,71.0,77.5,55.8,59.1,65.1,16.5,23.9,34.1,21.7,31.7,23.1,24.1,24.2,19.8,31.0
Q9UNH7,Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1,9,4,9,406,105.3,66.6,110.4,112.6,101.2,95.1,97.5,77.6,87.2,82.5,70.4,63.6,99.7,64.7,79.1,95.3,63.3,60.9,60.3,83.9
Q15118,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDK1 PE=1 SV=1",9,4,11,436,76.6,37.7,50.7,63.2,53.9,74.1,73.9,55.8,71.9,66.2,64.6,72.2,54.0,86.1,69.8,83.1,53.1,65.5,52.8,86.3
Q9P2M7,Cingulin OS=Homo sapiens OX=9606 GN=CGN PE=1 SV=3,4,6,9,1203,69.2,46.6,96.7,99.7,88.6,93.7,93.8,68.9,80.9,76.2,38.3,34.7,44.4,36.9,46.0,44.0,34.4,33.3,30.0,42.2
P36507,Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,7,2,5,400,125.1,78.9,138.3,147.9,146.0,140.3,136.4,108.0,127.2,116.2,33.6,31.1,56.7,42.3,40.9,42.0,35.4,34.2,29.5,51.5
Q15772,Striated muscle preferentially expressed protein kinase OS=Homo sapiens OX=9606 GN=SPEG PE=1 SV=4,0,2,4,3267,115.3,65.5,115.6,122.2,110.2,116.8,118.9,91.2,101.5,98.7,89.3,82.1,159.1,114.2,118.8,128.7,101.1,111.3,90.6,159.5
Q9H8M9,Protein eva-1 homolog A OS=Homo sapiens OX=9606 GN=EVA1A PE=1 SV=1,16,2,7,152,11.7,5.1,9.5,16.5,7.5,15.3,9.8,6.5,10.2,10.0,8.6,12.1,18.4,15.3,16.6,14.7,11.2,10.0,12.2,18.9
O00429,Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,24,13,32,736,86.2,57.0,80.5,109.2,89.8,95.6,90.0,67.3,66.5,76.0,63.0,57.7,96.1,67.2,68.8,66.2,73.3,63.1,41.4,81.3
P63272,Transcription elongation factor SPT4 OS=Homo sapiens OX=9606 GN=SUPT4H1 PE=1 SV=1,6,1,1,117,54.1,33.8,53.1,67.4,59.8,59.6,74.8,47.8,63.4,46.6,,,,,,,,,,
Q9GZU7,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 OS=Homo sapiens OX=9606 GN=CTDSP1 PE=1 SV=1,3,1,3,261,13.7,7.8,14.9,19.1,13.5,17.0,16.0,15.1,14.0,14.7,29.2,27.8,59.8,39.6,45.1,37.7,35.8,33.0,24.5,48.8
Q96AC1,Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,6,3,6,680,42.8,29.2,61.5,61.4,41.9,41.5,44.6,38.7,35.2,40.8,25.9,23.4,45.8,32.2,35.0,29.9,25.0,26.7,22.8,39.6
Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2,1,1,2,606,,,,,,,,,,,268.6,288.5,381.6,333.9,294.9,314.7,271.7,254.8,168.0,322.8
P26640,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,9,9,28,1264,72.4,47.2,89.1,106.0,67.6,70.7,68.3,62.8,61.2,67.9,53.3,52.5,78.2,61.1,68.9,65.7,55.2,51.1,35.7,68.5
Q15363,Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1,4,1,6,201,,,,,,,,,,,40.4,39.5,95.0,54.0,76.7,73.6,54.6,71.2,54.2,101.2
O75694,Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,2,2,4,1391,28.2,14.7,35.8,36.5,35.8,37.0,36.0,25.6,31.4,30.7,,,,,,,,,,
Q01581,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=HMGCS1 PE=1 SV=2",2,1,2,520,,,,,,,,,,,8.6,12.0,11.8,14.2,11.6,10.9,34.5,12.3,8.9,17.1
Q9UBP0,Spastin OS=Homo sapiens OX=9606 GN=SPAST PE=1 SV=1,2,1,1,616,5.9,4.9,8.4,9.3,8.8,9.0,12.0,39.9,9.8,25.0,,,,,,,,,,
P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,15,2,13,234,123.6,64.8,133.1,138.0,128.5,119.5,121.9,96.9,115.6,105.6,52.9,41.1,67.6,60.0,52.5,58.7,77.2,59.3,50.6,77.9
Q32MK0,Myosin light chain kinase 3 OS=Homo sapiens OX=9606 GN=MYLK3 PE=1 SV=3,2,2,7,819,18.5,11.8,19.2,27.6,30.9,27.8,20.3,16.1,27.7,28.1,16.5,16.9,40.4,21.0,23.0,21.0,20.2,21.1,12.2,33.0
Q9H078,Caseinolytic peptidase B protein homolog OS=Homo sapiens OX=9606 GN=CLPB PE=1 SV=1,8,4,9,707,41.1,34.1,45.6,60.2,43.7,42.5,44.1,36.5,33.7,37.5,28.0,31.3,62.3,38.8,42.0,35.1,33.4,34.9,26.1,42.6
Q15545,Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1,3,1,1,349,10.8,8.6,14.2,12.0,13.6,14.5,12.8,6.1,10.7,10.5,,,,,,,,,,
B3EWF7,"Laforin, isoform 9 OS=Homo sapiens OX=9606 GN=EPM2A PE=1 SV=1",2,1,3,344,102.8,52.0,126.4,162.0,163.3,169.5,164.4,102.5,148.8,149.7,143.9,145.6,192.9,146.4,148.4,144.6,117.8,147.7,119.1,212.8
Q8NI60,"Atypical kinase COQ8A, mitochondrial OS=Homo sapiens OX=9606 GN=COQ8A PE=1 SV=1",2,1,3,647,171.5,97.1,117.5,167.6,142.3,161.7,159.8,133.5,140.5,149.2,89.7,88.3,80.0,86.0,94.5,86.2,81.2,79.9,72.8,108.6
Q5T2W1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 OS=Homo sapiens OX=9606 GN=PDZK1 PE=1 SV=2,4,2,7,519,22.9,11.3,27.2,29.8,20.5,28.0,22.8,17.2,28.3,20.9,34.0,28.2,51.7,29.4,38.7,44.9,31.2,40.8,27.1,54.4
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",22,9,22,390,92.9,50.0,65.2,81.7,76.5,91.5,83.9,74.6,72.2,86.3,107.0,116.9,105.1,119.4,117.0,109.2,115.0,101.6,67.3,135.0
Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,19,11,32,908,75.1,41.7,80.6,84.5,76.6,80.8,81.8,63.5,68.8,72.3,87.8,71.9,116.7,100.4,92.6,120.0,79.2,101.2,77.0,121.0
O14734,Acyl-coenzyme A thioesterase 8 OS=Homo sapiens OX=9606 GN=ACOT8 PE=1 SV=1,6,1,2,319,14.4,6.8,15.7,14.0,25.5,15.4,13.5,16.7,14.4,13.1,17.3,20.3,31.8,19.7,21.4,19.5,16.6,13.4,21.2,29.2
Q16878,Cysteine dioxygenase type 1 OS=Homo sapiens OX=9606 GN=CDO1 PE=1 SV=2,11,2,15,200,103.3,57.0,91.6,109.6,114.6,90.1,80.4,73.9,55.5,67.2,57.0,50.3,62.6,66.3,72.9,53.6,45.4,52.9,30.1,62.3
Q9NQ29,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1,5,2,5,371,64.5,34.2,74.0,74.7,68.3,65.0,64.7,54.5,37.7,44.3,28.9,25.1,42.8,33.8,38.1,36.7,29.4,26.8,28.6,38.9
P19971,Thymidine phosphorylase OS=Homo sapiens OX=9606 GN=TYMP PE=1 SV=2,1,1,1,482,18.9,7.8,14.8,15.5,21.9,20.5,22.8,27.4,78.9,49.8,,,,,,,,,,
Q9NXA8,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Homo sapiens OX=9606 GN=SIRT5 PE=1 SV=2",4,1,2,310,44.3,36.0,46.7,51.8,45.8,39.0,43.6,34.2,32.0,40.0,49.5,45.8,61.3,57.1,72.3,54.5,42.9,48.3,39.8,70.3
Q14247,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,7,5,15,550,34.1,20.1,40.1,38.2,30.4,34.3,34.5,27.0,35.7,29.8,53.6,46.3,83.7,55.6,74.0,56.7,48.3,49.3,50.4,74.6
Q9H3H3,UPF0696 protein C11orf68 OS=Homo sapiens OX=9606 GN=C11orf68 PE=1 SV=3,6,2,3,292,46.5,22.8,42.8,42.2,42.9,41.9,40.2,35.2,37.6,41.6,60.9,67.4,123.6,122.4,100.9,119.0,75.2,83.3,73.0,113.2
P49591,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3",13,6,13,514,314.1,211.6,334.9,331.8,328.9,352.8,325.6,267.8,287.7,294.5,48.9,41.7,59.4,42.3,53.2,54.3,37.7,47.2,38.2,53.6
P28288,ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1,9,6,24,659,299.3,166.4,212.4,365.2,208.0,294.7,297.9,247.0,164.3,252.1,95.9,92.4,156.8,117.0,97.8,104.6,81.2,102.4,62.6,135.0
O95486,Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,4,4,9,1093,65.5,35.9,62.8,68.3,74.6,68.8,65.7,43.8,51.8,56.3,59.7,49.6,82.0,57.4,77.4,64.2,52.2,50.2,53.6,79.8
Q92616,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=7,8,17,49,2671,80.0,55.1,117.6,101.1,88.8,87.6,90.1,75.1,81.9,62.6,70.2,67.2,117.6,95.4,85.6,107.7,62.8,76.5,54.7,95.9
P27708,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,5,11,29,2225,13.9,8.1,18.6,19.5,16.8,14.6,15.3,14.9,15.3,11.0,16.2,21.8,30.0,18.5,24.2,20.2,18.2,16.0,25.5,25.3
Q5JSL3,Dedicator of cytokinesis protein 11 OS=Homo sapiens OX=9606 GN=DOCK11 PE=1 SV=2,1,1,3,2073,21.1,10.8,21.3,35.3,18.5,26.5,21.5,21.2,15.7,19.8,21.0,14.6,34.3,25.4,32.5,26.9,25.9,22.9,19.0,34.1
P61077,Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1,33,3,20,147,368.0,260.9,413.7,485.1,392.4,401.7,402.4,319.8,314.8,327.2,411.0,421.8,678.9,509.0,540.0,476.4,395.9,429.1,312.2,516.5
P36405,ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2,21,3,6,182,62.3,35.5,45.7,57.6,48.0,59.6,60.9,43.4,36.6,44.3,16.3,15.2,29.2,20.9,25.2,24.2,15.1,19.2,17.2,24.8
P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5",8,15,36,2137,43.0,31.7,44.3,35.0,23.7,35.6,38.1,38.0,28.1,40.4,157.9,124.0,127.1,190.5,124.9,114.8,111.3,100.4,81.1,156.6
Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1,7,2,2,392,36.7,16.0,30.2,34.6,33.2,32.9,27.4,21.8,32.8,24.8,53.9,40.6,64.5,52.4,58.1,66.3,64.3,55.7,41.2,66.8
O43399,Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2,4,1,3,206,30.0,15.3,31.3,37.0,24.9,28.6,27.1,22.0,32.1,25.4,20.0,15.4,26.0,21.0,20.9,18.1,16.4,15.8,16.6,26.4
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,3,8,14,3433,21.8,12.9,22.9,22.6,19.3,26.5,22.7,18.5,20.4,20.3,22.6,23.6,37.9,32.2,31.9,35.1,27.0,28.0,33.7,43.4
O15230,Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,0,1,9,3695,206.3,337.7,232.4,327.1,220.6,259.5,278.6,194.7,216.2,270.5,,,,,,,,,,
P61081,NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1,6,1,3,183,20.5,10.2,20.4,23.5,25.5,22.0,19.6,16.6,23.2,19.8,44.7,45.1,65.2,51.7,58.0,58.6,35.8,47.6,38.4,59.5
Q9HC35,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,1,1,1,981,,,,,,,,,,,47.8,42.2,81.9,58.6,72.9,75.7,51.5,56.9,46.7,73.8
Q86YB7,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=ECHDC2 PE=1 SV=2",9,3,8,292,106.4,62.5,106.2,106.0,99.3,100.3,89.1,84.0,85.1,96.4,241.1,204.7,263.5,244.8,264.3,240.6,145.6,220.3,163.5,273.5
Q9NY33,Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2,6,4,10,737,89.4,41.6,86.5,100.8,91.0,81.5,86.7,75.7,94.0,86.2,87.5,79.8,118.8,97.2,92.3,98.6,77.7,81.9,71.1,126.4
Q14764,Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,6,4,8,893,35.2,17.7,53.6,42.7,40.5,36.9,38.7,31.0,48.9,36.0,73.7,65.4,97.8,84.6,100.2,110.6,81.1,86.6,96.5,112.7
Q8TD57,Dynein axonemal heavy chain 3 OS=Homo sapiens OX=9606 GN=DNAH3 PE=2 SV=1,1,3,8,4116,24.7,45.2,34.1,46.4,33.4,37.2,43.8,28.0,34.0,41.5,111.9,97.7,113.3,132.2,114.3,124.8,102.4,144.5,70.7,190.5
O95477,Phospholipid-transporting ATPase ABCA1 OS=Homo sapiens OX=9606 GN=ABCA1 PE=1 SV=3,1,3,6,2261,,,,,,,,,,,95.1,63.1,61.4,98.1,53.7,51.3,26.3,42.4,16.3,61.8
P46109,Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1,16,3,7,303,55.0,31.0,68.7,65.5,60.2,64.7,68.2,51.1,60.6,58.0,51.6,46.4,81.7,56.7,60.7,67.6,50.0,55.3,44.1,68.6
O95470,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3,1,1,1,568,31.7,20.0,22.4,61.0,26.0,46.7,37.3,24.3,25.8,32.6,,,,,,,,,,
P16333,Cytoplasmic protein NCK1 OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1,5,2,2,377,20.6,10.9,26.6,22.6,19.7,25.1,18.2,16.6,11.3,19.9,17.7,11.5,18.0,12.8,16.1,16.2,8.0,14.0,10.0,20.2
Q9HBH5,Retinol dehydrogenase 14 OS=Homo sapiens OX=9606 GN=RDH14 PE=1 SV=1,6,2,5,336,55.3,25.3,47.0,64.3,40.8,47.3,43.1,39.8,36.2,43.1,35.9,33.9,82.8,46.7,49.7,50.0,49.9,41.2,31.0,57.5
Q99572,P2X purinoceptor 7 OS=Homo sapiens OX=9606 GN=P2RX7 PE=1 SV=4,2,1,1,595,,,,,,,,,,,57.4,63.3,105.0,67.7,93.6,85.8,69.5,58.5,62.5,121.2
Q96EN9,Required for excision 1-B domain-containing protein OS=Homo sapiens OX=9606 GN=REX1BD PE=1 SV=1,4,1,1,201,19.5,11.3,26.2,17.2,18.4,26.9,27.4,19.3,24.2,22.5,,,,,,,,,,
Q13574,Diacylglycerol kinase zeta OS=Homo sapiens OX=9606 GN=DGKZ PE=1 SV=4,2,1,1,928,12.0,6.1,8.6,7.5,9.2,24.4,7.9,12.5,10.4,21.6,,,,,,,,,,
Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",5,1,2,438,34.2,18.1,36.2,45.6,30.8,37.4,33.7,27.6,42.3,38.1,24.6,20.9,23.9,24.1,29.5,25.0,16.8,21.7,21.5,24.7
Q9BQ70,Transcription factor 25 OS=Homo sapiens OX=9606 GN=TCF25 PE=1 SV=1,1,1,1,676,25.2,17.6,28.2,31.0,23.7,28.6,21.9,21.6,21.7,24.8,,,,,,,,,,
Q99436,Proteasome subunit beta type-7 OS=Homo sapiens OX=9606 GN=PSMB7 PE=1 SV=1,4,1,7,277,295.0,199.3,359.4,422.2,321.8,329.2,339.1,265.5,323.0,306.2,396.3,329.3,457.3,392.6,491.4,450.9,352.4,396.2,341.2,512.5
Q9Y6I3,Epsin-1 OS=Homo sapiens OX=9606 GN=EPN1 PE=1 SV=2,2,1,3,576,68.3,40.4,90.4,82.5,90.0,92.8,86.1,67.2,71.8,75.6,57.5,50.8,95.3,78.7,71.9,82.7,57.3,68.4,53.8,86.5
Q7RTV0,PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,6,1,2,110,92.8,67.4,115.1,117.3,106.7,92.9,91.8,84.6,100.1,91.8,133.1,117.6,220.1,157.6,176.0,185.2,132.7,136.8,125.8,175.1
Q15746,"Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4",1,3,8,1914,41.2,25.8,40.9,54.6,43.1,43.7,68.3,35.1,33.1,43.0,46.4,24.9,100.3,69.9,64.8,54.2,36.8,48.0,21.0,48.1
A8MPS7,Carbohydrate deacetylase OS=Homo sapiens OX=9606 GN=YDJC PE=1 SV=1,2,1,3,323,175.1,119.3,159.2,184.3,140.3,171.0,167.9,129.8,124.2,142.7,119.0,79.7,153.1,110.7,112.3,116.9,81.9,99.3,76.4,132.1
