Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
Q16629,Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1,8,2,5,238,30.3,17.9,28.7,31.7,31.8,32.8,28.4,29.0,28.5,30.1,39.3,30.1,42.9,32.6,29.9,41.0,34.2,33.3,22.8,64.1
P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,6,2,12,286,83.8,49.4,106.2,105.8,87.8,96.4,93.1,80.1,89.2,83.7,41.6,38.5,58.6,50.3,52.7,54.9,46.5,46.7,34.9,62.0
Q5U651,Ras-interacting protein 1 OS=Homo sapiens OX=9606 GN=RASIP1 PE=1 SV=1,5,4,8,963,25.8,12.9,23.2,30.6,21.9,27.7,32.0,20.5,23.8,25.0,32.5,29.7,62.3,37.9,46.3,51.8,31.3,31.0,35.7,48.6
Q15181,Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2,9,2,5,289,58.7,30.2,77.7,79.3,58.7,66.8,64.5,54.0,54.1,52.8,37.2,36.0,81.9,60.7,53.6,61.8,52.2,50.4,40.2,78.7
Q96K76,Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens OX=9606 GN=USP47 PE=1 SV=3,2,2,3,1375,90.2,54.3,100.1,118.6,104.9,110.4,94.5,85.2,89.7,83.8,66.4,56.8,111.1,83.9,92.2,82.5,72.1,72.1,59.2,92.2
Q53H96,Pyrroline-5-carboxylate reductase 3 OS=Homo sapiens OX=9606 GN=PYCR3 PE=1 SV=3,8,2,3,274,96.5,63.7,115.0,108.4,97.8,103.3,118.6,60.1,83.1,81.8,26.8,23.3,36.4,29.7,38.5,34.7,27.2,27.5,30.9,36.5
Q5JPE7,BOS complex subunit NOMO2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1,5,4,8,1267,37.7,23.5,25.4,57.7,28.9,40.1,35.5,34.4,32.6,28.9,52.5,40.7,73.8,62.2,54.4,54.5,46.1,43.9,40.4,69.8
P00966,Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2,27,10,262,412,325.6,194.9,314.6,415.8,350.2,581.2,326.8,324.8,360.3,522.9,366.5,358.4,663.1,417.9,417.5,397.5,352.4,359.7,311.1,626.1
Q99829,Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1,8,4,7,537,48.7,31.9,62.7,61.8,50.9,46.4,56.3,33.2,54.6,39.4,50.7,47.5,77.4,53.7,64.3,62.9,54.2,50.0,50.7,72.9
Q08J23,RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,6,4,7,767,37.6,21.9,36.6,41.3,38.6,38.6,39.1,34.0,34.9,35.7,22.3,18.3,37.1,26.3,32.4,29.1,140.0,31.1,30.8,39.0
Q96PK6,RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,16,8,17,669,108.0,69.7,118.8,116.5,118.2,128.2,113.0,97.4,109.8,110.2,65.9,62.2,94.9,61.4,76.4,77.2,71.9,64.2,56.8,89.6
O43615,Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2,6,2,6,452,32.4,20.6,20.9,40.2,35.5,27.6,28.4,21.8,29.1,27.9,21.8,18.1,25.4,19.1,20.0,22.0,16.1,20.4,18.8,21.3
Q9H9S4,Calcium-binding protein 39-like OS=Homo sapiens OX=9606 GN=CAB39L PE=1 SV=3,5,2,7,337,28.0,16.0,21.6,28.3,22.6,23.0,25.9,21.2,23.0,18.9,,,,,,,,,,
O60610,Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2,7,7,14,1272,23.8,15.8,36.7,29.2,31.6,34.4,32.9,22.7,25.6,29.5,18.8,20.6,29.5,21.9,23.1,25.3,18.0,21.1,17.9,31.4
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=BDH1 PE=1 SV=3",10,3,16,343,102.9,76.0,68.8,117.2,90.7,91.2,80.4,76.8,79.4,82.9,83.3,79.3,110.7,90.8,96.1,95.6,61.9,87.2,61.1,115.9
Q13576,Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4,5,8,18,1575,51.3,38.7,62.9,67.7,62.1,71.6,56.8,50.6,52.3,50.5,59.1,49.9,82.3,63.9,72.9,59.1,56.4,56.5,46.8,80.9
Q02252,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",12,5,32,535,187.4,109.1,158.4,201.5,166.3,180.4,166.5,139.8,169.1,167.3,390.2,353.0,447.6,418.5,469.8,413.6,273.6,359.1,293.5,434.8
P09972,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,22,7,21,364,71.1,25.2,60.1,61.3,46.7,58.9,70.4,50.3,44.7,46.5,36.0,37.3,59.2,47.3,50.7,43.0,31.2,35.8,30.2,46.3
P52895,Aldo-keto reductase family 1 member C2 OS=Homo sapiens OX=9606 GN=AKR1C2 PE=1 SV=3,10,3,16,323,147.5,85.7,139.9,138.4,144.8,149.6,134.7,117.6,139.9,123.9,85.8,82.8,110.8,101.8,95.8,112.2,79.0,91.3,71.4,113.5
O75795,UDP-glucuronosyltransferase 2B17 OS=Homo sapiens OX=9606 GN=UGT2B17 PE=1 SV=1,6,3,30,530,386.8,232.3,210.9,685.3,245.9,430.2,420.9,309.6,247.2,311.7,646.7,641.6,1170.4,966.8,663.0,740.2,538.7,674.5,410.9,766.8
Q13884,Beta-1-syntrophin OS=Homo sapiens OX=9606 GN=SNTB1 PE=1 SV=3,5,3,8,538,162.9,91.9,191.7,189.9,185.6,203.8,227.2,157.0,183.7,180.6,73.7,60.5,99.7,87.7,78.7,80.5,61.1,67.2,59.7,95.1
Q9NP72,Ras-related protein Rab-18 OS=Homo sapiens OX=9606 GN=RAB18 PE=1 SV=1,22,4,9,206,103.1,55.6,80.8,105.5,81.6,109.4,96.8,81.7,78.5,86.6,86.7,79.2,128.7,93.2,79.6,86.6,75.7,80.3,53.4,108.5
Q99487,"Platelet-activating factor acetylhydrolase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=PAFAH2 PE=1 SV=1",4,2,3,392,16.1,20.3,33.3,21.8,36.6,36.0,22.6,22.7,42.8,39.0,26.3,29.1,33.1,27.7,37.0,32.3,33.9,16.3,25.5,38.3
P13796,Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,16,10,30,627,63.3,41.5,81.9,82.7,62.4,64.5,64.8,63.1,64.8,74.6,106.6,74.2,134.0,101.0,107.3,128.9,83.6,100.4,90.8,141.3
O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,5,2,3,533,,,,,,,,,,,11.2,6.4,17.2,16.3,11.3,11.6,20.4,12.6,9.9,22.4
O14618,Copper chaperone for superoxide dismutase OS=Homo sapiens OX=9606 GN=CCS PE=1 SV=1,11,3,6,274,58.4,37.7,56.0,57.0,53.3,55.9,71.1,45.8,57.7,55.8,81.5,73.6,98.0,89.9,91.1,93.9,93.9,84.0,70.0,102.2
Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,4,4,14,826,45.2,36.8,67.8,122.6,62.2,72.7,53.7,55.8,56.9,61.5,68.0,72.8,138.7,90.5,68.6,81.1,55.7,76.9,45.4,99.9
P00439,Phenylalanine-4-hydroxylase OS=Homo sapiens OX=9606 GN=PAH PE=1 SV=1,9,5,26,452,214.9,159.3,329.5,248.9,270.2,237.8,289.4,195.8,264.7,230.7,106.4,103.3,200.4,138.3,126.5,111.9,109.9,111.1,109.8,157.3
Q13098,COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=4,7,4,5,491,62.4,38.9,62.6,66.6,69.9,69.0,62.1,50.5,52.8,55.5,36.8,29.4,45.4,33.3,33.8,31.6,26.7,32.9,27.6,41.8
P55036,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,8,3,8,377,82.8,50.2,101.8,93.6,93.5,96.9,91.2,70.5,88.2,79.9,57.3,53.9,89.6,83.5,79.1,80.9,65.2,67.0,61.6,82.2
Q9UJ83,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens OX=9606 GN=HACL1 PE=1 SV=2,7,3,25,578,297.2,166.9,285.3,244.0,259.0,274.5,292.1,212.9,222.6,227.7,223.1,211.9,277.8,253.7,254.8,260.5,192.2,184.1,180.0,309.6
Q9Y4L1,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,8,6,15,999,124.0,87.4,166.5,163.1,118.2,136.1,123.9,98.0,100.4,111.1,108.4,94.0,179.4,116.5,124.8,134.4,97.0,121.5,89.9,149.5
Q9UHJ6,Sedoheptulokinase OS=Homo sapiens OX=9606 GN=SHPK PE=1 SV=4,8,3,9,478,101.4,57.0,104.4,104.6,112.5,123.9,119.4,85.8,96.4,108.0,73.4,80.1,114.9,106.8,106.0,103.6,82.7,89.2,72.3,127.7
O60294,tRNA wybutosine-synthesizing protein 4 OS=Homo sapiens OX=9606 GN=LCMT2 PE=1 SV=3,2,2,3,686,,,,,,,,,,,89.8,77.0,87.3,93.2,90.3,94.2,73.9,87.9,60.8,110.5
Q6ZS81,WD repeat- and FYVE domain-containing protein 4 OS=Homo sapiens OX=9606 GN=WDFY4 PE=1 SV=3,0,2,4,3184,78.6,56.1,69.0,93.9,84.6,84.2,83.1,70.0,64.9,82.0,22.8,17.2,31.5,27.1,25.9,21.4,19.7,20.3,17.5,30.1
O43390,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,6,4,12,633,39.7,28.1,62.0,68.1,52.9,57.4,58.6,49.9,54.4,56.0,39.2,37.2,87.0,45.8,69.1,71.2,51.1,52.8,53.4,76.5
P50995,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,7,3,25,505,73.2,45.9,68.1,82.5,79.9,80.8,92.3,64.8,82.3,79.3,61.3,60.7,82.6,81.9,78.5,78.8,82.7,71.3,57.1,89.7
P57088,Transmembrane protein 33 OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=2,12,3,7,247,121.3,66.1,87.1,192.5,95.6,135.8,118.8,96.1,84.7,97.8,50.7,52.9,97.7,74.5,55.9,67.4,43.5,54.8,40.0,60.6
Q04760,Lactoylglutathione lyase OS=Homo sapiens OX=9606 GN=GLO1 PE=1 SV=4,9,2,12,184,321.2,203.2,268.8,263.0,304.7,301.9,265.1,244.8,246.9,259.5,166.3,170.4,217.8,164.7,194.7,183.3,155.4,155.6,129.4,198.0
P35221,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,12,10,25,906,57.0,47.4,74.1,96.0,65.1,59.0,68.7,54.3,49.0,51.2,60.7,59.6,122.3,78.4,100.3,80.2,71.7,86.8,62.1,111.9
O00233,26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3,13,2,5,223,15.8,10.1,15.9,15.9,17.1,17.8,16.6,15.2,17.5,15.0,13.2,18.6,23.0,14.4,24.1,18.4,14.5,15.6,14.2,20.9
Q9NTX5,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens OX=9606 GN=ECHDC1 PE=1 SV=2,7,2,5,307,136.6,77.0,90.5,110.7,103.3,134.3,127.8,93.5,100.0,118.8,86.3,74.8,78.8,81.0,68.4,76.5,49.8,73.9,53.3,98.6
Q8TBC4,NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens OX=9606 GN=UBA3 PE=1 SV=2,12,4,9,463,41.2,24.1,46.5,46.7,45.2,43.1,41.2,29.8,44.3,37.3,35.4,40.7,53.5,39.9,41.1,46.5,30.0,30.3,28.1,52.1
P48147,Prolyl endopeptidase OS=Homo sapiens OX=9606 GN=PREP PE=1 SV=2,15,8,26,710,62.0,34.8,58.9,66.3,56.9,63.3,57.7,51.1,52.3,53.0,28.1,26.5,40.0,33.4,43.8,32.9,32.7,37.3,30.3,40.4
Q9NPD3,Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3,11,2,2,245,,,,,,,,,,,32.7,23.8,43.7,36.8,44.5,49.3,31.2,35.2,30.2,46.5
P46108,Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2,12,3,16,304,146.1,100.4,162.0,157.9,153.8,169.7,166.6,122.1,145.8,135.4,58.8,63.4,89.5,130.9,69.7,82.6,68.2,60.3,50.8,123.4
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,11,5,23,414,121.6,60.5,150.9,139.5,147.6,166.4,175.8,107.9,149.8,137.6,114.7,99.1,143.1,131.4,134.7,138.3,105.5,118.8,84.9,147.6
Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2,6,4,6,782,33.3,23.0,36.2,36.6,33.4,37.2,37.9,26.4,33.2,29.3,35.6,39.6,64.0,45.3,47.5,54.6,42.3,43.7,46.4,58.8
P49915,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,3,2,6,693,203.4,130.6,259.2,262.3,276.7,267.9,250.2,191.1,232.2,212.6,142.4,142.4,240.2,178.6,197.7,196.0,151.8,151.9,140.1,204.4
Q5GLZ8,Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1,5,5,10,1057,14.5,9.7,16.8,18.1,10.9,14.9,13.0,11.9,17.8,16.0,16.7,18.4,29.0,19.6,20.2,23.0,17.6,17.9,18.2,26.1
Q96JH7,Deubiquitinating protein VCPIP1 OS=Homo sapiens OX=9606 GN=VCPIP1 PE=1 SV=2,3,3,8,1222,33.9,21.7,41.8,42.5,29.4,35.0,33.4,28.0,28.9,33.0,20.6,22.2,22.3,22.1,28.3,26.4,22.4,20.5,17.5,30.7
P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,16,2,9,118,70.0,41.4,79.4,89.4,85.7,76.4,76.8,53.6,78.7,67.3,55.1,47.3,76.4,58.0,66.6,65.7,46.1,56.4,49.0,72.5
P62277,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,21,4,15,151,85.9,44.7,78.3,107.9,61.1,67.4,73.7,66.8,60.8,60.2,68.2,70.8,87.4,68.5,81.7,67.9,61.4,64.0,60.3,96.8
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1,8,2,5,314,37.3,21.5,36.9,41.5,39.2,32.4,49.2,32.8,37.1,34.9,16.6,12.1,18.0,13.1,17.1,16.7,13.4,12.1,9.6,18.5
P07947,Tyrosine-protein kinase Yes OS=Homo sapiens OX=9606 GN=YES1 PE=1 SV=3,6,4,10,543,134.3,79.0,149.9,176.5,135.8,149.8,143.0,115.1,138.9,127.1,52.4,42.6,64.0,66.0,67.9,64.2,42.0,47.1,41.8,70.2
Q86WA8,"Lon protease homolog 2, peroxisomal OS=Homo sapiens OX=9606 GN=LONP2 PE=1 SV=1",3,3,6,852,19.2,15.5,25.8,23.1,24.9,22.9,18.8,23.1,21.1,19.5,38.9,32.0,58.3,42.8,49.1,46.1,35.6,43.7,34.2,55.0
P11712,Cytochrome P450 2C9 OS=Homo sapiens OX=9606 GN=CYP2C9 PE=1 SV=3,3,3,16,490,324.0,160.0,163.3,339.7,152.3,258.3,275.2,185.8,165.8,183.1,95.5,91.5,130.7,154.9,143.5,141.6,119.7,116.7,76.8,143.9
O60551,Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens OX=9606 GN=NMT2 PE=1 SV=1,6,2,3,498,43.1,31.1,30.3,47.2,37.2,28.9,33.6,33.4,33.0,38.6,,,,,,,,,,
P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,25,5,18,241,133.6,87.2,114.1,139.4,133.7,102.8,115.8,83.5,105.0,109.8,91.9,83.0,116.4,89.6,109.8,110.7,86.6,95.8,75.0,107.5
P67870,Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1,12,2,4,215,22.0,23.9,35.5,49.5,20.2,25.8,25.3,21.7,20.1,25.7,18.8,16.5,24.4,16.1,19.6,22.5,19.3,19.1,14.7,27.8
Q9BSJ8,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,4,4,10,1104,106.5,37.3,39.6,130.8,97.5,141.8,117.6,85.9,28.3,77.9,120.2,85.5,160.5,130.2,135.7,127.7,91.1,102.2,87.9,131.9
Q7Z7H5,Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TMED4 PE=1 SV=1,18,4,12,227,18.4,39.5,37.9,42.7,27.1,20.9,30.8,26.0,25.4,26.7,30.7,29.8,72.2,40.4,43.8,40.3,31.4,34.9,22.3,48.1
P38159,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",6,3,8,391,47.5,34.0,70.5,82.3,55.2,58.6,68.4,44.2,60.2,61.9,29.4,31.2,63.9,47.6,53.0,49.8,40.1,42.1,31.8,63.4
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,8,12,38,1976,26.7,12.7,28.6,29.5,18.1,20.2,29.0,18.7,22.8,21.7,,,,,,,,,,
P18085,ADP-ribosylation factor 4 OS=Homo sapiens OX=9606 GN=ARF4 PE=1 SV=3,15,3,13,180,,,,,,,,,,,114.4,94.5,176.9,118.8,133.9,130.6,96.7,121.2,88.4,157.1
P34897,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",18,9,46,504,32.4,19.4,33.1,35.0,34.1,35.4,35.9,27.2,37.8,23.4,37.6,30.7,40.9,39.8,39.0,33.2,26.4,32.7,25.5,38.4
Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,20,38,120,2541,143.9,99.8,168.9,201.1,154.4,159.9,153.3,120.3,131.6,131.8,360.9,290.0,503.0,392.4,423.5,424.6,322.5,371.2,286.7,500.7
Q86V21,Acetoacetyl-CoA synthetase OS=Homo sapiens OX=9606 GN=AACS PE=1 SV=1,4,3,7,672,76.6,37.9,70.6,118.3,62.4,97.6,97.2,67.3,87.8,78.9,58.0,61.2,54.3,71.6,68.2,65.2,131.9,63.4,52.8,79.7
Q9Y3U8,60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3,21,3,12,105,69.0,45.1,84.0,84.2,62.6,71.1,70.6,54.2,62.6,50.7,63.2,61.7,82.1,68.0,81.4,70.9,54.4,59.1,52.1,73.7
Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,11,8,29,953,100.1,58.9,121.0,109.4,112.5,115.6,103.0,88.7,101.3,90.5,128.0,108.9,176.3,144.1,157.0,149.5,127.2,127.3,110.6,160.3
O75208,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1",6,2,5,318,82.7,47.5,58.0,67.8,64.0,76.9,64.3,64.5,61.4,71.1,40.4,41.7,41.6,54.6,54.5,44.6,38.6,48.3,33.7,58.9
P61106,Ras-related protein Rab-14 OS=Homo sapiens OX=9606 GN=RAB14 PE=1 SV=4,21,4,10,215,81.8,36.7,61.2,98.2,62.8,77.1,73.7,51.1,56.8,65.0,37.0,41.4,72.3,57.8,51.3,60.9,33.7,43.5,40.7,66.7
P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,6,11,25,2647,28.9,22.3,37.0,43.3,32.1,38.3,55.5,30.0,32.2,35.2,47.6,24.8,50.7,33.8,37.9,43.7,35.3,35.8,25.9,49.0
P62917,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,16,5,16,257,183.5,103.2,151.4,213.9,127.6,149.1,138.6,117.9,111.6,112.4,210.6,232.8,230.3,248.2,254.6,257.1,172.4,215.8,180.9,291.6
Q9NR19,"Acetyl-coenzyme A synthetase, cytoplasmic OS=Homo sapiens OX=9606 GN=ACSS2 PE=1 SV=1",8,4,18,701,34.2,16.9,28.5,40.3,26.5,37.8,46.2,29.3,32.0,34.6,48.1,57.9,43.3,65.9,62.6,61.4,44.2,42.1,31.7,57.7
P49411,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=3",21,6,53,455,102.4,61.6,86.0,109.9,100.4,95.5,104.3,76.6,94.7,77.7,74.8,66.9,86.3,88.1,98.5,79.3,85.2,72.2,62.1,92.8
P52948,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4,1,2,4,1817,76.3,51.6,86.7,101.7,86.7,105.7,81.7,68.7,82.1,76.7,64.7,57.2,99.7,75.8,88.4,81.5,65.8,76.8,65.0,86.7
P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,24,4,36,208,110.3,65.8,108.4,104.3,85.4,94.4,82.4,63.1,80.4,64.2,93.6,77.6,78.7,81.0,80.8,78.4,56.4,61.4,55.9,82.6
Q8TAT6,Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3,10,4,8,608,99.8,65.4,127.1,121.4,115.6,104.6,108.9,79.3,83.3,91.9,43.9,40.3,63.1,41.3,48.7,42.1,34.7,37.5,26.2,45.5
Q9Y5P6,Mannose-1-phosphate guanyltransferase beta OS=Homo sapiens OX=9606 GN=GMPPB PE=1 SV=2,23,6,13,360,30.0,20.4,31.4,33.2,37.5,28.5,40.5,28.5,28.2,25.2,35.6,32.8,52.8,39.9,49.6,36.5,36.9,29.9,33.8,44.7
O60763,General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2,8,7,15,962,142.6,82.8,179.3,158.8,150.8,163.8,157.6,124.8,116.0,127.4,60.5,57.7,91.7,71.1,77.5,79.6,58.5,60.9,44.2,108.4
Q13425,Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1,6,3,4,540,,,,,,,,,,,44.2,36.3,54.4,34.6,37.4,50.2,31.0,44.1,39.5,48.8
Q9UKX3,Myosin-13 OS=Homo sapiens OX=9606 GN=MYH13 PE=2 SV=2,6,13,46,1938,143.5,32.9,111.2,120.7,117.7,89.6,78.8,117.3,108.8,98.0,98.6,83.7,147.4,98.7,80.4,68.9,93.7,77.7,74.2,109.6
Q9BV35,Calcium-binding mitochondrial carrier protein SCaMC-3 OS=Homo sapiens OX=9606 GN=SLC25A23 PE=1 SV=2,6,2,4,468,13.0,10.0,9.9,23.5,9.4,11.9,13.7,13.3,6.9,10.7,13.4,13.5,23.4,25.0,16.6,17.3,10.6,14.1,8.7,21.6
P17540,"Creatine kinase S-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT2 PE=1 SV=2",9,3,8,419,33.6,24.0,42.1,41.7,35.7,53.0,39.9,92.9,33.2,87.5,33.5,37.9,45.1,44.8,68.7,39.4,858.4,98.4,58.8,148.5
Q96CW1,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,14,6,14,435,64.8,35.4,65.0,87.2,56.3,74.4,73.4,54.9,65.1,54.8,51.8,54.2,92.0,63.5,64.9,60.4,53.1,62.3,41.5,63.2
P14927,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2,9,2,15,111,144.7,82.6,106.3,170.9,121.7,163.6,148.7,112.6,140.9,144.1,248.3,247.0,333.4,313.1,302.1,326.6,202.2,270.1,232.9,334.9
Q14249,"Endonuclease G, mitochondrial OS=Homo sapiens OX=9606 GN=ENDOG PE=1 SV=4",16,4,13,297,54.9,32.6,51.4,64.7,53.1,67.1,65.6,42.9,49.6,54.7,38.2,42.9,69.1,48.1,63.9,67.3,51.5,41.1,44.8,66.8
P43034,Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens OX=9606 GN=PAFAH1B1 PE=1 SV=2,10,3,13,410,23.5,13.4,22.8,22.3,21.6,21.8,20.3,16.4,19.1,17.2,15.0,12.9,19.5,14.4,16.2,16.1,42.9,21.1,16.1,27.7
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2,6,2,6,412,136.8,95.3,111.8,215.2,139.9,150.0,159.7,122.0,111.9,123.9,44.2,33.4,66.2,50.2,41.6,44.8,30.2,38.6,32.6,62.8
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog OS=Homo sapiens OX=9606 GN=TOMM22 PE=1 SV=3,16,2,4,142,22.1,11.9,7.2,27.0,14.0,27.6,21.4,14.7,16.5,17.1,11.8,13.3,20.0,14.0,12.0,13.9,51.5,20.9,10.8,17.2
Q9Y619,Mitochondrial ornithine transporter 1 OS=Homo sapiens OX=9606 GN=SLC25A15 PE=1 SV=1,28,5,12,301,104.2,63.2,56.1,142.2,62.9,91.0,87.4,80.9,57.5,76.6,64.4,63.8,150.0,76.6,68.2,65.6,40.2,66.0,38.1,77.8
Q16537,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Homo sapiens OX=9606 GN=PPP2R5E PE=1 SV=1,5,2,4,467,14.6,9.2,19.6,24.1,13.6,22.1,21.7,15.8,17.1,17.6,24.2,28.7,39.8,20.5,35.0,19.3,29.1,23.0,23.2,32.7
Q9UBR1,Beta-ureidopropionase OS=Homo sapiens OX=9606 GN=UPB1 PE=1 SV=1,11,2,6,384,91.4,41.9,64.0,46.2,74.2,86.5,92.0,51.2,140.5,73.9,90.0,106.4,91.7,81.6,127.0,129.1,68.6,48.1,124.2,85.7
P06744,Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4,4,2,5,558,60.6,48.6,72.3,105.7,67.8,82.8,85.8,54.4,54.4,65.2,52.4,46.6,69.8,53.6,62.9,59.8,76.9,48.0,31.2,64.0
