Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131,mouse_accession,Description,Coverage [%]
,,,,,,,,,,74.3,61.9,92.7,73.5,66.4,65.1,56.5,67.2,39.9,81.2,P70175,Disks large homolog 3 OS=Mus musculus OX=10090 GN=Dlg3 PE=1 SV=1,1
18.8,10.2,28.8,14.7,18.5,18.6,22.2,11,27.6,18.4,,,,,,,,,,,Q8K3K8,Optineurin OS=Mus musculus OX=10090 GN=Optn PE=1 SV=1,4
29.7,20,34.5,34.9,28.7,35.4,30.4,21.7,36.8,33.3,58,49.2,83.2,58.2,67.3,77.7,50.7,56.8,56.3,80.1,Q8CGZ0,Calcium homeostasis endoplasmic reticulum protein OS=Mus musculus OX=10090 GN=Cherp PE=1 SV=1,4
869.5,481.8,677.8,1309.5,607.7,1125,1156.3,779.1,695.5,828.6,1257,1502.4,1078,1479.4,1460,1333.4,1103.6,1116.6,792,1514.3,P19096,Fatty acid synthase OS=Mus musculus OX=10090 GN=Fasn PE=1 SV=2,32
28.1,16.1,33.1,27.9,33.5,25.8,28.5,21.4,26.5,23.3,31,30.8,45,36.3,35.3,37,29.4,35.9,28.3,45.4,Q3U487,E3 ubiquitin-protein ligase HECTD3 OS=Mus musculus OX=10090 GN=Hectd3 PE=1 SV=2,10
267.8,164.7,144,361.9,177.2,273.7,261.5,219.6,170.9,230,,,,,,,,,,,Q9CQZ6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Mus musculus OX=10090 GN=Ndufb3 PE=1 SV=1,7
53.9,33.7,75.8,84,82.7,74.8,64,51.7,62.6,63,46.7,42.1,72.6,51.1,56.4,65.1,43.5,49.4,43.3,60.1,Q9EQH2,Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2,16
213.8,146,211,245.5,243,235.7,234.8,175.7,239,203.3,84.4,69.4,81.3,86.3,109.5,92.6,60.4,80.8,68.9,103.5,Q9CYW4,Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Mus musculus OX=10090 GN=Hdhd3 PE=1 SV=1,23
33.3,10.9,169.8,188.8,138.6,88.8,159.6,62.5,152.8,93.7,39.7,37.6,145.3,86.7,131.3,129.3,76.6,84.1,99.8,111,Q18LF9,Major DNA-binding protein OS=Elephantid herpesvirus 1 (isolate Asian elephant/Berlin/Kiba/1998) OX=654902 GN=DBP PE=3 SV=1,1
16.8,11.3,17.2,16.7,16.5,12.3,15.3,12.7,15.8,15.3,26.4,21.3,31.5,26.4,23.9,28.4,18.1,23.8,19.5,33.6,Q9CQZ1,Heat shock factor-binding protein 1 OS=Mus musculus OX=10090 GN=Hsbp1 PE=1 SV=1,14
35.6,21.3,22.9,50.1,27.6,43.6,35.2,31.9,27.7,33.8,78.6,87.1,128.9,115.4,88.8,100.5,76.6,80.7,52.4,113.1,Q8VCM8,Nicalin OS=Mus musculus OX=10090 GN=Ncln PE=1 SV=2,13
52,31,67.5,72.8,66.7,66.6,67.1,48.9,59.1,53.3,31.9,28.5,55.2,37.8,50,39.2,35.2,35.8,29.3,41.8,P40336,Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a PE=1 SV=1,15
30.8,15.3,31.3,34.6,27.6,27.5,37.5,24.3,29.3,30.6,13.7,12.1,20.5,13,17.7,21,10.4,11.5,9.2,18.4,B7ZMP1,Xaa-Pro aminopeptidase 3 OS=Mus musculus OX=10090 GN=Xpnpep3 PE=1 SV=1,10
56.1,32.4,62.9,66.4,62.4,63.6,58.3,43.2,52.3,44.7,29.3,25.5,42.9,31.2,33.7,31.1,27.4,22.6,25.1,36.3,Q6NV83,U2 snRNP-associated SURP motif-containing protein OS=Mus musculus OX=10090 GN=U2surp PE=1 SV=3,1
46.8,32.2,56.3,62.7,60.7,52.4,55.4,41.3,44.9,46.5,23.2,19.9,56.9,38.3,81.2,74.3,30,24.5,68.9,38.5,Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2,22
25.1,15,17.9,63.8,22.2,32.6,29.3,23.7,24.5,30.9,33.9,27.3,53.8,35.6,39.6,46.5,29.2,38.8,27,50.1,P21958,Antigen peptide transporter 1 OS=Mus musculus OX=10090 GN=Tap1 PE=1 SV=3,4
53.8,29.1,190.3,229.9,134.5,121.2,173.8,81.4,177,107.5,6.6,12,18,14.7,16.4,17.2,16,17.5,12.3,23.9,O55087,Myocyte-specific enhancer factor 2B OS=Mus musculus OX=10090 GN=Mef2b PE=1 SV=1,2
36.3,32.6,31.6,38.7,28.7,28.1,31.9,29.8,26.4,23.7,12.5,7.7,23.8,13.8,12.6,14.6,6.4,14.4,9,23.9,Q9ESP1,Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2,24
13.2,5.6,11.1,12.4,11.5,12.8,11.6,9.7,10.8,12.8,,,,,,,,,,,O70423,Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3,2
62.4,34.5,75,150.3,74.4,78.2,70.1,61.5,75.4,69.7,47.7,36,59.6,38.3,47,45.3,32.1,45.9,33.8,56.2,P42225,Signal transducer and activator of transcription 1 OS=Mus musculus OX=10090 GN=Stat1 PE=1 SV=1,13
25.6,21.8,40.1,40.6,47.6,39.5,37.1,25.6,32.5,31.3,12.4,13.7,16.6,11.2,13.5,14,11.3,9.6,8.8,14.4,Q8R050,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus OX=10090 GN=Gspt1 PE=1 SV=2,11
14.2,7.1,10,16.7,11.2,14.3,16.1,11.6,8.5,12.1,13.1,10.7,18.3,18.5,11.6,11.9,8.8,13.5,4.9,25.1,Q91YX5,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Mus musculus OX=10090 GN=Lpgat1 PE=1 SV=1,9
90,56.9,66.4,109.8,71.5,74,65.6,69.8,73.8,68.7,33.4,29.8,46.7,27.4,43.7,34.6,60.1,40,23.6,44.3,P70404,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus OX=10090 GN=Idh3g PE=1 SV=1",22
237.1,144.6,274.1,318.7,299.2,295.8,327.3,240.5,299.8,270.5,218.8,186.7,340,250.6,223.4,298.5,250.2,229.2,193.2,285.5,P48678,Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2,33
410.6,272.9,499.3,505,453.3,436.6,439.1,357.1,395,380.8,,,,,,,,,,,D2J0Y4,(E2-independent) E3 ubiquitin-conjugating enzyme FATS OS=Mus musculus OX=10090 GN=D7Ertd443e PE=1 SV=1,1
9.7,8.7,16.1,13.3,12.7,12,11.3,8.3,12.1,11,,,,,,,,,,,O70145,Neutrophil cytosol factor 2 OS=Mus musculus OX=10090 GN=Ncf2 PE=1 SV=1,3
87.8,64.8,129.5,129.1,140.1,118.2,106.6,92.9,107.7,90.4,37,31.7,49.9,30.1,35.8,39.7,25.4,30,20.7,42.6,Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus OX=10090 GN=Uggt1 PE=1 SV=4,10
49.1,36.2,52.2,56.1,57.7,54.2,63.9,48.1,46.9,50.7,71.4,63.9,105.5,76,86.6,88.6,70.9,76.7,62,87.6,O88456,Calpain small subunit 1 OS=Mus musculus OX=10090 GN=Capns1 PE=1 SV=1,13
30.3,21.8,38.8,49.9,43,45.6,48.5,34.1,37.9,39.8,,,,,,,,,,,Q8R4Y4,Stabilin-1 OS=Mus musculus OX=10090 GN=Stab1 PE=1 SV=1,3
162.5,119.2,175.1,220.8,141.7,145.6,140.5,121.8,121.6,151.8,13.6,13.5,25.4,17.7,20.6,25.1,13.8,15,13.5,24.9,O08788,Dynactin subunit 1 OS=Mus musculus OX=10090 GN=Dctn1 PE=1 SV=3,4
34.2,28.9,34.4,37.7,29.2,36.2,34,30,28.9,34.7,19.5,10.3,28.5,17.2,16.6,21.3,15.6,15.9,14.9,32.4,Q9CR27,WASH complex subunit 3 OS=Mus musculus OX=10090 GN=Washc3 PE=1 SV=1,13
,,,,,,,,,,26.3,17.5,31,27.2,25.7,30.1,23.8,21.1,20.9,26.2,Q8K1N2,Pleckstrin homology-like domain family B member 2 OS=Mus musculus OX=10090 GN=Phldb2 PE=1 SV=2,1
13.4,6.6,18.3,22.3,16.6,19.9,23.7,16.5,16.7,20.4,46.8,32.5,62.4,58.6,40.7,58,35.1,44.2,43.6,46.3,Q9JLF6,Protein-glutamine gamma-glutamyltransferase K OS=Mus musculus OX=10090 GN=Tgm1 PE=1 SV=2,11
,,,,,,,,,,24.3,18.2,39.1,29.9,23.7,30.2,21.9,20,15.8,30.6,Q8R5C8,Zinc finger MYND domain-containing protein 11 OS=Mus musculus OX=10090 GN=Zmynd11 PE=1 SV=2,1
20.8,24.6,24.9,39.1,25.7,26.8,30.5,20.9,27.5,25.6,23.3,18.7,31.5,22.4,21.9,22.9,13,13.3,12,23.8,Q62384,Zinc finger protein ZPR1 OS=Mus musculus OX=10090 GN=Zpr1 PE=1 SV=1,5
120.3,72.9,116.8,124.7,109.7,115.7,99.4,87.3,84.5,94.9,105.7,104,129.9,113.8,116.1,116,81.2,86.7,82.1,111.4,Q8K3Z9,Nuclear envelope pore membrane protein POM 121 OS=Mus musculus OX=10090 GN=Pom121 PE=1 SV=2,1
22.6,13.4,19.1,25,21.6,26.8,32.7,21.8,25.7,24.5,28.6,27.6,40.6,31.6,29.9,19.6,26,28.8,24.2,36.9,A2AAY5,SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1,1
338.4,200.4,324.1,372.1,329.9,377,343.3,296.2,343.5,301.2,487.3,493.5,671.6,464.6,477.1,528.3,368.7,437.7,432.2,667.8,Q9CQG0,Transmembrane emp24 domain-containing protein 6 OS=Mus musculus OX=10090 GN=Tmed6 PE=1 SV=1,8
79.9,53.9,82.5,80.7,78.7,83.6,73.2,66.1,72.3,67.5,85.1,73.6,103.6,82.8,97.1,92.4,70.5,75.5,69.1,105.3,Q9ERG0,LIM domain and actin-binding protein 1 OS=Mus musculus OX=10090 GN=Lima1 PE=1 SV=3,4
,,,,,,,,,,92.9,71.6,145.9,107.8,139.4,133.2,98.9,119.4,95.2,144.4,Q8BG40,Katanin p80 WD40 repeat-containing subunit B1 OS=Mus musculus OX=10090 GN=Katnb1 PE=1 SV=1,1
138.2,72.8,177.3,193.9,155.3,169.7,167.8,130.4,152.4,130.8,151.5,119.9,224.8,158.7,160.2,177.7,118.8,137.9,139.7,200.6,P27773,Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2,17
35.5,19.5,36.8,42.1,33.3,33.4,38.4,31.5,38.9,31.3,111.9,98.2,193.7,138.6,145.9,134.4,91,113.1,86,148.5,Q9Z108,Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus OX=10090 GN=Stau1 PE=1 SV=1,7
214.7,127.5,209.7,204.5,188.7,216.8,212.2,181.8,220.5,212.1,106.3,83.6,171.8,139.9,151.7,159.4,117,161.7,118,193.3,P70694,Estradiol 17 beta-dehydrogenase 5 OS=Mus musculus OX=10090 GN=Akr1c6 PE=1 SV=1,18
569.1,406.1,548.9,722.8,578.9,593.4,596.3,508,579.9,554.1,446.7,392.7,495.3,498.6,515.3,540.4,442.9,471.8,407.8,618.6,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2",46
99.8,73.3,91.5,88,90.3,103.2,82.1,95.4,58.8,103.8,73.3,79.9,108.5,91.3,82.3,78.8,70,81.5,50.8,105.9,P97807,"Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3",19
30.5,14.9,39.1,35.5,30.9,28.7,33.3,32.4,35.5,30.1,12.9,11.2,14.5,12,12,14.1,10.9,12.2,10.8,15.1,Q3UFF7,Lysophospholipase-like protein 1 OS=Mus musculus OX=10090 GN=Lyplal1 PE=1 SV=3,10
206.5,136.6,208.1,238.6,261.7,237.3,249.5,187.4,237.8,197.3,159.5,160.7,241.9,192.5,209.9,180.9,159.9,164.3,148.6,211.6,Q9DCQ2,Putative L-aspartate dehydrogenase OS=Mus musculus OX=10090 GN=Aspdh PE=1 SV=1,61
13.6,8.8,17.5,21.2,15.1,13.6,13.9,16.4,19.2,10.6,21.6,16.3,26.5,18.1,20.8,25.1,16.6,17.8,15.6,25.1,Q3U0V2,Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Mus musculus OX=10090 GN=Tradd PE=1 SV=1,14
55.5,34.9,60.3,65.7,54.9,55.6,60.3,50.1,52.4,53.1,65.8,56.7,91.8,72.9,80.5,79.8,64.2,56.2,51.7,91.9,P58058,NAD kinase OS=Mus musculus OX=10090 GN=Nadk PE=1 SV=2,2
166.7,107.1,172.7,179.9,193.2,158.9,145,138.2,159,157.3,133,132.7,160.4,160.9,162.1,159.6,146.3,145.7,111,173.2,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3",29
116,87.1,93.4,193.6,93.9,119.8,114.9,93.5,84.2,101.7,144,168.7,281.2,202.6,166.1,164.9,158.5,194.2,62.2,180.1,Q9D6J5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb8 PE=1 SV=1",17
61.2,41.2,35.3,111.8,32.4,57.6,60.1,47.1,35.6,47.4,60.1,58.6,107.3,76.2,57.6,62.8,40,59.2,30.8,84.1,O55242,Sigma non-opioid intracellular receptor 1 OS=Mus musculus OX=10090 GN=Sigmar1 PE=1 SV=1,9
56.1,25.7,47.4,60.7,58.8,64.7,57.2,49.1,58.6,59.5,38.7,38.5,61.1,52.8,52.7,56.6,38.5,42.1,37.3,55.3,Q9D1L0,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Mus musculus OX=10090 GN=Chchd2 PE=2 SV=1,22
13.5,9.3,14.9,22,14.1,16.7,24.2,14.3,15.1,19.9,20.5,11.5,30.4,19.1,25,31.2,24.2,25.3,21.7,30.8,P10107,Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2,16
,,,,,,,,,,81.1,65.3,90.7,80.8,86.8,67.9,54,62.7,55.6,86.4,Q3UBG2,"PTB-containing, cubilin and LRP1-interacting protein OS=Mus musculus OX=10090 GN=Pid1 PE=1 SV=2",6
154.1,70.8,107.5,188.2,73,126.2,132.4,93.3,92.1,107,86.1,75.7,169.9,118.9,79.8,91.8,72.6,100.9,66.6,124.3,Q9Z0R9,Acyl-CoA 6-desaturase OS=Mus musculus OX=10090 GN=Fads2 PE=1 SV=1,5
164.1,93,146,211.2,162.6,164.3,163.6,130,159.7,144.7,215.9,209.1,295.9,249,266.3,252.3,219.3,222.6,202.5,289.2,Q9CQN1,"Heat shock protein 75 kDa, mitochondrial OS=Mus musculus OX=10090 GN=Trap1 PE=1 SV=1",20
49.9,31.5,48.8,53.8,49.7,63.6,44.8,37.7,49,55.5,37.8,31,64.9,43,40.6,47,37.4,41.3,38.7,54.3,Q99MD9,Nuclear autoantigenic sperm protein OS=Mus musculus OX=10090 GN=Nasp PE=1 SV=2,1
24.9,13.2,30.2,25.9,23.2,26.7,27.7,20.8,22.8,21.7,24.3,17.6,29,23.2,23.4,28.3,20.5,22.4,18.1,27.7,Q8BK67,Protein RCC2 OS=Mus musculus OX=10090 GN=Rcc2 PE=1 SV=1,6
22.5,15.7,17.6,35.7,17.3,25.5,21.1,14.9,17.6,22,,,,,,,,,,,P15116,Cadherin-2 OS=Mus musculus OX=10090 GN=Cdh2 PE=1 SV=2,6
35.6,26.5,28,50.6,34,34.4,46.1,30.4,33.5,37.1,22.5,19.5,41.6,35.5,28.3,42.6,20.3,31.6,21.8,51.7,Q8K3F6,Potassium voltage-gated channel subfamily KQT member 3 OS=Mus musculus OX=10090 GN=Kcnq3 PE=1 SV=2,1
340.8,192.2,296.5,229.5,135.2,227.2,224.1,248.2,190.6,244.2,455.8,299.9,248.5,416.8,222.1,213.4,245.9,209.2,154.6,292.4,P00920,Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4,17
19.8,19.3,32.1,36.9,37.2,31.8,29,26.7,26.3,34.1,13.6,13,25.6,20.1,20.4,16.6,9.4,18.2,13.6,21.5,Q9CX63,Protein IL-40 OS=Mus musculus OX=10090 PE=2 SV=1,3
32.3,20.6,24.6,55.6,25.8,43.6,33.8,30.1,25.3,25.4,32.4,27,50.7,38.9,31.4,37.8,21.8,30,17.4,36.5,Q9D7N9,Adipocyte plasma membrane-associated protein OS=Mus musculus OX=10090 GN=Apmap PE=1 SV=1,9
56.2,27.4,81.7,77.7,67.2,71.6,70.7,46,58.2,55.3,112.1,100.4,175.2,127.9,144.1,119.6,111.9,114.1,91.3,141.8,Q8R1B4,Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1,16
24.6,14.8,13.5,31.7,16.5,24.7,21.7,16.2,16.5,19.5,42.1,37.5,59.8,49.9,43.3,51.8,43,49.5,26.2,57.7,Q8CFE2,Histone PARylation factor 1 OS=Mus musculus OX=10090 GN=Hpf1 PE=1 SV=1,2
43.1,31.1,27.9,43.5,33,35.5,43.3,40.4,34.1,43.1,114.7,114.1,151.8,140.9,148.5,144.9,288.7,125,90.6,172.7,Q9Z222,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 OS=Mus musculus OX=10090 GN=B3GNT2 PE=1 SV=3",2
134.9,83.9,162.9,176.2,150.5,160.3,137.4,116.8,130.6,132.9,48.7,48.9,75.3,50.2,63,53.9,48.2,49.4,38.7,63.9,Q9JIF7,Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1,15
119.3,62.7,115.1,139.4,123.4,127.9,139.9,98.2,141.6,123.9,39.2,41.5,66,53.1,51.1,47.7,40.5,42.2,36,51.1,P49443,Protein phosphatase 1A OS=Mus musculus OX=10090 GN=Ppm1a PE=1 SV=1,28
17.8,13.6,29.2,22.9,22.3,23.1,24.6,14.9,24.6,21.7,,,,,,,,,,,Q9QWH1,Polyhomeotic-like protein 2 OS=Mus musculus OX=10090 GN=Phc2 PE=1 SV=1,1
70.5,42.3,81,74,69.4,78.5,75.6,68.9,70.3,71,46.1,38.6,57.7,48,49.1,48.7,43.6,43.5,33.2,55.6,Q61160,FAS-associated death domain protein OS=Mus musculus OX=10090 GN=Fadd PE=1 SV=1,3
18.7,7,18.6,19.4,12.9,15.4,14.1,14.7,16.2,13.5,14.6,14.1,26.2,15.7,17.8,21,12.2,17.3,12,19.1,Q9Z2L7,Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1,3
18.7,17,31,32,24.5,23.2,26.2,19.3,24,27.5,13.5,11.9,20.1,17.4,18.3,17.9,13.7,16,11.1,22.5,Q8C6G8,WD repeat-containing protein 26 OS=Mus musculus OX=10090 GN=Wdr26 PE=1 SV=3,8
23.1,13.8,23.9,28.8,28.3,26.1,25.3,19.7,22,25.1,32.8,27.5,45.8,33,43.6,40.8,31.8,35.2,31.2,50,Q60575,Kinesin-like protein KIF1B OS=Mus musculus OX=10090 GN=Kif1b PE=1 SV=2,2
83.3,48.8,72.4,111.2,80.9,88.2,80.4,69.2,71.1,71.7,41.6,53.1,105.6,60.3,76.4,82.4,47,64,46.1,78,Q9QZQ8,Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=Macroh2a1 PE=1 SV=3,10
64,31.7,60.4,75,53.7,59.8,71.4,56.6,70.3,54.1,80.1,67.8,76.9,69.9,93.1,80.5,67.1,55.2,50.2,90.1,Q3TYX3,SET and MYND domain-containing protein 5 OS=Mus musculus OX=10090 GN=Smyd5 PE=1 SV=2,2
99.2,60.2,130.5,106.8,97.9,101.9,103.4,98,90.2,88.3,40.4,43.1,68,47.1,49.9,47.3,37.3,40.1,25.6,49,P10854,Histone H2B type 1-M OS=Mus musculus OX=10090 GN=H2bc14 PE=1 SV=2,30
22.2,13.7,20.3,26.4,21.7,27.5,23.7,17.9,26.9,32.2,,,,,,,,,,,Q5SVR0,TBC1 domain family member 9B OS=Mus musculus OX=10090 GN=Tbc1d9b PE=1 SV=1,2
39.3,21.2,46.2,39.2,44.2,37,41.2,33.6,35.6,34.5,,,,,,,,,,,Q8BIQ5,Cleavage stimulation factor subunit 2 OS=Mus musculus OX=10090 GN=Cstf2 PE=1 SV=2,2
27.4,25.7,30.3,65.1,36.6,43.5,50.1,34.1,28.8,49.4,207.8,189.8,333.4,246.7,287.9,285.6,212.3,229.5,208.3,315.7,P98083,SHC-transforming protein 1 OS=Mus musculus OX=10090 GN=Shc1 PE=1 SV=3,10
37.7,14,26.1,13.5,24.4,25.6,34.8,19,30,18.2,,,,,,,,,,,Q8CIN4,Serine/threonine-protein kinase PAK 2 OS=Mus musculus OX=10090 GN=Pak2 PE=1 SV=1,6
110.4,63.5,126.1,126.5,115.3,124.7,114.7,89.1,98.1,103.6,60.9,53.8,104.5,67.3,68.2,75.6,59,74.8,54.4,101.3,Q9Z204,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus OX=10090 GN=Hnrnpc PE=1 SV=1,11
49.8,216.9,157.3,196.5,109.9,109.6,131.1,74.1,134.6,89.3,262.5,245.5,269.8,306.5,262.9,304.8,202.4,214.6,185.1,308.6,Q9CZ49,Kelch-like protein 35 OS=Mus musculus OX=10090 GN=Klhl35 PE=2 SV=2,1
20.7,12.8,37.6,39.3,31.3,30.4,35.4,21.5,36.4,28.1,29.9,18.1,43.5,31.7,26.3,26.9,18.6,25.6,21.4,34.3,Q99KG3,RNA-binding protein 10 OS=Mus musculus OX=10090 GN=Rbm10 PE=1 SV=1,4
160.6,99.6,186.1,205.9,174.3,164.5,172.4,144.2,155.6,152.8,155.1,123.1,235.1,164.3,195.9,184,170.3,145,123,186.8,P14152,"Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3",13
86.1,56.9,98.6,85,80.5,84.4,81.5,63.8,77.1,80.2,143.5,109.1,203.6,171.8,181.5,160.3,137,144.7,125.4,199,P97855,Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1,13
23.5,11,20.4,31.6,21.9,26.1,21,17.2,15,22.8,,,,,,,,,,,Q80XD1,Beta-chimaerin OS=Mus musculus OX=10090 GN=Chn2 PE=1 SV=2,6
11.1,7.1,13.3,15.1,14,14.6,15.5,11.6,12,11.6,11.4,10.6,23.2,10.8,14,13.9,11.6,12.8,8.6,13.8,Q8C4Y3,Negative elongation factor B OS=Mus musculus OX=10090 GN=Nelfb PE=1 SV=2,2
43.6,29,52.6,54.9,49.7,50.5,52.5,41.3,40.5,37.8,28.6,21.5,36.8,28.7,31.9,32.3,32.7,25.4,16.1,44.7,Q80WQ2,Protein VAC14 homolog OS=Mus musculus OX=10090 GN=Vac14 PE=1 SV=1,1
62.2,36.9,74.5,67.3,61.1,65.2,65.3,50.5,60.5,60.6,69.1,61.1,96.6,81.7,91.9,89.4,69.8,73.8,67,101.3,P62334,26S proteasome regulatory subunit 10B OS=Mus musculus OX=10090 GN=Psmc6 PE=1 SV=1,26
140.1,74.3,74.1,171.1,62,112.1,93.6,77.3,71,69.8,103.2,72.7,134.1,92.4,102,111,61.1,91.1,67.9,121.4,P51658,Estradiol 17-beta-dehydrogenase 2 OS=Mus musculus OX=10090 GN=Hsd17b2 PE=1 SV=2,10
47.8,24.3,45.7,50.5,40.4,46.3,38.9,36.4,35.9,43.4,,,,,,,,,,,O35598,Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2,1
78.5,39.8,78.2,79.8,68.6,72,88.9,59.6,68.6,60.4,142.1,113.6,205.2,148.4,150.1,138.7,143.1,130.2,103.4,171.5,A3KMP2,Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 GN=Ttc38 PE=1 SV=2,25
116.4,73.9,121.9,119.3,130.9,121.6,124.8,94,122.9,105.1,67.7,58.8,101.5,70.4,89.9,80.8,63.1,53,62.2,93.3,Q8R081,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=2,13
281.1,136.9,359,345,309.2,303.6,337.1,219.9,340.6,255.3,109.6,101.4,170.3,125.6,145.8,112.1,268.5,128.5,97.3,156.5,Q5SX39,Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1,17
57.9,34.6,88.2,98.1,88.3,84.2,102.4,52.3,105.3,63.4,6.5,4.7,101.1,51.7,108.2,104.5,44.2,16.5,88.7,23.2,P41155,Lymphotoxin-beta OS=Mus musculus OX=10090 GN=Ltb PE=2 SV=1,2
70.9,46.2,74.4,116.3,65.4,96.3,94.3,63.2,56.8,74.7,26.7,23.1,64.5,37.7,26.8,41.9,34.4,35.7,20,37.2,Q5XG73,Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1,10
28.1,16.1,32.8,40.2,31.1,33.3,32,26.6,33.6,28.7,20.9,25.5,38.5,22,27.8,27.7,23,26.2,17.2,30.2,P83741,Serine/threonine-protein kinase WNK1 OS=Mus musculus OX=10090 GN=Wnk1 PE=1 SV=2,1
11.7,6.1,10.9,7.8,7.8,9.7,9.7,11.8,13.4,13.6,,,,,,,,,,,Q99MK8,Beta-adrenergic receptor kinase 1 OS=Mus musculus OX=10090 GN=Grk2 PE=1 SV=2,1
112.5,62.1,131.6,130.8,119.4,116.1,131.8,95.3,121.3,113.8,107.9,103.6,144.3,115.2,122.3,130.9,118.9,104.6,87,130.2,Q5NC05,Transcription termination factor 2 OS=Mus musculus OX=10090 GN=Ttf2 PE=1 SV=2,1
102.7,64.1,103.7,103.4,96.1,106.7,103.1,80.3,89,99.7,61,51.5,89.8,74.9,70.8,82.8,63.6,63.4,49.2,87.6,P97364,"Selenide, water dikinase 2 OS=Mus musculus OX=10090 GN=Sephs2 PE=1 SV=3",17
35.8,17.3,51.7,38.1,36.6,42.7,41.5,38.6,42.5,36.6,37.3,31.4,50.3,47.5,46.9,52,64.2,48.4,42.3,58.1,Q9D2V7,Coronin-7 OS=Mus musculus OX=10090 GN=Coro7 PE=1 SV=2,16
24.7,14.5,19.3,23.8,20.2,28.5,28.5,18.7,21.7,22.9,43.1,36.9,42.2,49.2,57.1,40.9,31.6,40.6,36.2,50.9,P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcl PE=1 SV=2",19
